USGS	11458000	2023-02-28 01:00	PST	1020	A
USGS	11458000	2023-02-28 01:15	PST	1010	A
USGS	11458000	2023-02-28 01:30	PST	1010	A
USGS	11458000	2023-02-28 01:45	PST	1000	A
USGS	11458000	2023-02-28 02:00	PST	997	A
USGS	11458000	2023-02-28 02:15	PST	978	A
USGS	11458000	2023-02-28 02:30	PST	981	A
USGS	11458000	2023-02-28 02:45	PST	972	A
USGS	11458000	2023-02-28 03:00	PST	972	A
USGS	11458000	2023-02-28 03:15	PST	960	A
USGS	11458000	2023-02-28 03:30	PST	960	A
USGS	11458000	2023-02-28 03:45	PST	950	A
USGS	11458000	2023-02-28 04:00	PST	947	A
USGS	11458000	2023-02-28 04:15	PST	941	A
USGS	11458000	2023-02-28 04:30	PST	938	A
USGS	11458000	2023-02-28 04:45	PST	929	A
USGS	11458000	2023-02-28 05:00	PST	926	A
USGS	11458000	2023-02-28 05:15	PST	923	A
USGS	11458000	2023-02-28 05:30	PST	914	A
USGS	11458000	2023-02-28 05:45	PST	917	A
USGS	11458000	2023-02-28 06:00	PST	899	A
USGS	11458000	2023-02-28 06:15	PST	899	A
USGS	11458000	2023-02-28 06:30	PST	899	A
USGS	11458000	2023-02-28 06:45	PST	890	A
USGS	11458000	2023-02-28 07:00	PST	899	A
USGS	11458000	2023-02-28 07:15	PST	893	A
USGS	11458000	2023-02-28 07:30	PST	893	A
USGS	11458000	2023-02-28 07:45	PST	893	A
USGS	11458000	2023-02-28 08:00	PST	896	A
USGS	11458000	2023-02-28 08:15	PST	896	A
USGS	11458000	2023-02-28 08:30	PST	902	A
USGS	11458000	2023-02-28 08:45	PST	899	A
USGS	11458000	2023-02-28 09:00	PST	917	A
USGS	11458000	2023-02-28 09:15	PST	935	A
USGS	11458000	2023-02-28 09:30	PST	950	A
USGS	11458000	2023-02-28 09:45	PST	969	A
USGS	11458000	2023-02-28 10:00	PST	997	A
USGS	11458000	2023-02-28 10:15	PST	1030	A
USGS	11458000	2023-02-28 10:30	PST	1040	A
USGS	11458000	2023-02-28 10:45	PST	1070	A
USGS	11458000	2023-02-28 11:00	PST	1110	A
USGS	11458000	2023-02-28 11:15	PST	1130	A
USGS	11458000	2023-02-28 11:30	PST	1180	A
USGS	11458000	2023-02-28 11:45	PST	1200	A
USGS	11458000	2023-02-28 12:00	PST	1230	A
USGS	11458000	2023-02-28 12:15	PST	1270	A
USGS	11458000	2023-02-28 12:30	PST	1300	A
USGS	11458000	2023-02-28 12:45	PST	1330	A
USGS	11458000	2023-02-28 13:00	PST	1360	A
USGS	11458000	2023-02-28 13:15	PST	1380	A
USGS	11458000	2023-02-28 13:30	PST	1400	A
USGS	11458000	2023-02-28 13:45	PST	1420	A
USGS	11458000	2023-02-28 14:00	PST	1460	A
USGS	11458000	2023-02-28 14:15	PST	1500	A
USGS	11458000	2023-02-28 14:30	PST	1530	A
USGS	11458000	2023-02-28 14:45	PST	1560	A
USGS	11458000	2023-02-28 15:00	PST	1620	A
USGS	11458000	2023-02-28 15:15	PST	1650	A
USGS	11458000	2023-02-28 15:30	PST	1680	A
USGS	11458000	2023-02-28 15:45	PST	1710	A
USGS	11458000	2023-02-28 16:00	PST	1730	A
USGS	11458000	2023-02-28 16:15	PST	1760	A
USGS	11458000	2023-02-28 16:30	PST	1780	A
USGS	11458000	2023-02-28 16:45	PST	1790	A
USGS	11458000	2023-02-28 17:00	PST	1800	A
USGS	11458000	2023-02-28 17:15	PST	1810	A
USGS	11458000	2023-02-28 17:30	PST	1810	A
USGS	11458000	2023-02-28 17:45	PST	1830	A
USGS	11458000	2023-02-28 18:00	PST	1840	A
USGS	11458000	2023-02-28 18:15	PST	1840	A
USGS	11458000	2023-02-28 18:30	PST	1830	A
USGS	11458000	2023-02-28 18:45	PST	1830	A
USGS	11458000	2023-02-28 19:00	PST	1830	A
USGS	11458000	2023-02-28 19:15	PST	1810	A
USGS	11458000	2023-02-28 19:30	PST	1820	A
