#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 01 08 20  17  2.6  3.4 99.00 99.00 99.00 999 1019.6  13.4 999.0  11.6 99.0 99.00 
2024 01 01 08 30  18  2.8  3.9 99.00 99.00 99.00 999 1019.5  13.5 999.0  11.7 99.0 99.00 
2024 01 01 08 40  29  2.8  3.6  1.76 12.12  8.53 283 1019.4  13.6 999.0  12.1 99.0 99.00 
2024 01 01 08 50  24  2.6  3.5 99.00 99.00 99.00 999 1019.6  13.4 999.0  12.1 99.0 99.00 
2024 01 01 09 00  12  2.6  3.4 99.00 99.00 99.00 999 1019.6  13.4 999.0  12.0 99.0 99.00 
2024 01 01 09 10  10  2.7  3.5  1.84 11.43  8.85 294 1019.7  13.4 999.0  11.9 99.0 99.00 
2024 01 01 09 20   4  2.6  3.5 99.00 99.00 99.00 999 1019.7  13.4 999.0  11.9 99.0 99.00 
2024 01 01 09 30   8  2.3  3.0 99.00 99.00 99.00 999 1019.8  13.5 999.0  12.0 99.0 99.00 
2024 01 01 09 40   6  2.5  3.2  1.78 10.81  8.87 290 1019.8  13.5 999.0  12.0 99.0 99.00 
2024 01 01 09 50  16  2.5  3.5 99.00 99.00 99.00 999 1019.8  13.5 999.0  12.0 99.0 99.00 
2024 01 01 10 00  21  2.6  3.4 99.00 99.00 99.00 999 1020.0  13.6 999.0  11.8 99.0 99.00 
2024 01 01 10 10  19  2.8  3.6  2.30 13.79  9.90 275 1020.0  13.5 999.0  11.3 99.0 99.00 
2024 01 01 10 20  25  2.6  3.8 99.00 99.00 99.00 999 1020.1  13.7 999.0  11.3 99.0 99.00 
2024 01 01 10 30  18  2.1  3.3 99.00 99.00 99.00 999 1020.1  13.7 999.0  11.5 99.0 99.00 
2024 01 01 10 40  27  2.1  3.3  2.23 12.90  9.96 279 1020.1  13.7 999.0  11.4 99.0 99.00 
2024 01 01 10 50  26  1.9  3.0 99.00 99.00 99.00 999 1020.1  13.8 999.0  11.8 99.0 99.00 
2024 01 01 11 00  27  1.8  2.8 99.00 99.00 99.00 999 1020.1  13.7 999.0  11.9 99.0 99.00 
2024 01 01 11 10  19  1.8  2.5  2.31 12.90  9.96 273 1020.2  13.6 999.0  11.7 99.0 99.00 
2024 01 01 11 20  32  2.0  2.9 99.00 99.00 99.00 999 1020.2  13.6 999.0  11.6 99.0 99.00 
2024 01 01 11 30  42  2.3  3.5 99.00 99.00 99.00 999 1020.1  13.6 999.0  11.3 99.0 99.00 
2024 01 01 11 40  40  1.9  3.9  2.41 13.79 10.19 268 1020.1  13.6 999.0  11.3 99.0 99.00 
2024 01 01 11 50  44  2.0  3.4 99.00 99.00 99.00 999 1020.0  13.6 999.0  11.4 99.0 99.00 
2024 01 01 12 00  39  2.1  3.6 99.00 99.00 99.00 999 1020.0  13.5 999.0  11.2 99.0 99.00 
2024 01 01 12 10  41  2.9  4.2  2.46 12.90 10.15 273 1019.9  13.6 999.0  11.3 99.0 99.00 
2024 01 01 12 20  23  3.1  4.0 99.00 99.00 99.00 999 1019.8  13.5 999.0  11.4 99.0 99.00 
2024 01 01 12 30  20  2.5  3.6 99.00 99.00 99.00 999 1019.9  13.5 999.0  11.3 99.0 99.00 
2024 01 01 12 40  17  1.9  2.8  2.12 12.90  9.70 289 1019.9  13.6 999.0  11.4 99.0 99.00 
2024 01 01 12 50  10  1.9  2.7 99.00 99.00 99.00 999 1020.0  13.5 999.0  11.4 99.0 99.00 
2024 01 01 13 00  18  1.6  2.7 99.00 99.00 99.00 999 1020.0  13.5 999.0  11.7 99.0 99.00 
2024 01 01 13 10 999 99.0 99.0 99.00 99.00 99.00 999 1020.1 999.0 999.0 999.0 99.0 99.00 
2024 01 01 13 20  33  1.8  2.9 99.00 99.00 99.00 999 1020.1  13.4 999.0  11.8 99.0 99.00 
2024 01 01 13 30  43  1.8  3.0 99.00 99.00 99.00 999 1020.1  13.4 999.0  11.8 99.0 99.00 
2024 01 01 13 40  62  2.0  3.5  2.51 13.79 10.35 267 1020.0  13.4 999.0  11.7 99.0 99.00 
2024 01 01 13 50  57  2.1  3.6 99.00 99.00 99.00 999 1020.0  13.4 999.0  11.6 99.0 99.00 
2024 01 01 14 00  68  1.8  3.5 99.00 99.00 99.00 999 1020.1  13.4 999.0  11.6 99.0 99.00 
2024 01 01 14 10  94  2.6  4.0  2.66 13.79 10.79 263 1020.1  13.2 999.0  11.6 99.0 99.00 
2024 01 01 14 20  95  2.5  4.0 99.00 99.00 99.00 999 1020.2  13.1 999.0  11.3 99.0 99.00 
2024 01 01 14 30  97  1.9  3.8 99.00 99.00 99.00 999 1020.4  13.1 999.0  11.3 99.0 99.00 
2024 01 01 14 40 100  1.7  3.5  2.84 12.90 10.71 264 1020.4  13.1 999.0  11.4 99.0 99.00 
2024 01 01 14 50 102  1.4  3.7 99.00 99.00 99.00 999 1020.5  13.1 999.0  11.3 99.0 99.00 
2024 01 01 15 00 106  1.2  2.8 99.00 99.00 99.00 999 1020.6  13.2 999.0  11.3 99.0 99.00 
2024 01 01 15 10 106  1.3  3.3  2.49 12.12 10.34 282 1020.6  13.1 999.0  11.2 99.0 99.00 
2024 01 01 15 20 112  1.2  3.2 99.00 99.00 99.00 999 1020.8  13.2 999.0  11.2 99.0 99.00 
2024 01 01 15 30 132  1.5  3.0 99.00 99.00 99.00 999 1021.1  13.1 999.0  11.3 99.0 99.00 
2024 01 01 15 40 131  1.3  3.0  2.72 12.90 10.41 278 1021.2  13.0 999.0  11.2 99.0 99.00 
2024 01 01 15 50 141  0.7  1.9 99.00 99.00 99.00 999 1021.3  13.2 999.0  11.3 99.0 99.00 
2024 01 01 16 00 237  0.3  1.2 99.00 99.00 99.00 999 1021.4  13.4 999.0  11.3 99.0 99.00 
2024 01 01 16 10 242  0.6  1.9  2.63 13.79 10.40 272 1021.7  13.6 999.0  11.4 99.0 99.00 
2024 01 01 16 20 258  0.6  1.9 99.00 99.00 99.00 999 1021.7  13.6 999.0  11.5 99.0 99.00 
2024 01 01 16 30 250  0.5  1.8 99.00 99.00 99.00 999 1021.8  13.9 999.0  11.6 99.0 99.00 
2024 01 01 16 40 256  0.6  2.1  2.72 13.79 10.51 275 1021.8  14.0 999.0  11.7 99.0 99.00 
2024 01 01 16 50 291  0.8  2.2 99.00 99.00 99.00 999 1022.0  14.0 999.0  11.8 99.0 99.00 
2024 01 01 17 00 306  0.5  2.2 99.00 99.00 99.00 999 1021.9  14.2 999.0  12.1 99.0 99.00 
2024 01 01 17 10 317  0.2  1.2  2.72 12.12 10.31 282 1022.0  14.6 999.0  12.2 99.0 99.00 
2024 01 01 17 20 100  0.2  1.9 99.00 99.00 99.00 999 1022.2  15.1 999.0  12.5 99.0 99.00 
2024 01 01 17 30  96  0.4  1.9 99.00 99.00 99.00 999 1022.3  15.0 999.0  12.3 99.0 99.00 
2024 01 01 17 40 105  1.4  4.2  2.65 12.12 10.30 276 1022.3  14.5 999.0  12.0 99.0 99.00 
2024 01 01 17 50 111  3.3  5.4 99.00 99.00 99.00 999 1022.3  13.4 999.0  11.4 99.0 99.00 
2024 01 01 18 00 112  3.4  5.6 99.00 99.00 99.00 999 1022.5  12.8 999.0  11.1 99.0 99.00 
2024 01 01 18 10 121  3.0  4.6  2.69 13.79 10.50 276 1022.5  12.7 999.0  10.9 99.0 99.00 
2024 01 01 18 20 116  2.9  4.8 99.00 99.00 99.00 999 1022.6  12.8 999.0  11.0 99.0 99.00 
2024 01 01 18 30 111  3.0  5.0 99.00 99.00 99.00 999 1022.5  12.9 999.0  11.1 99.0 99.00 
2024 01 01 18 40 106  3.1  5.3  2.73 12.90 10.39 272 1022.4  12.9 999.0  11.1 99.0 99.00 
2024 01 01 18 50 104  3.3  5.3 99.00 99.00 99.00 999 1022.4  12.9 999.0  11.1 99.0 99.00 
2024 01 01 19 00 108  3.3  5.1 99.00 99.00 99.00 999 1022.3  12.8 999.0  11.0 99.0 99.00 
2024 01 01 19 10 109  2.9  5.1  3.02 12.90 10.59 277 1022.2  12.8 999.0  11.0 99.0 99.00 
2024 01 01 19 20 109  2.3  4.8 99.00 99.00 99.00 999 1022.2  13.0 999.0  11.1 99.0 99.00 
2024 01 01 19 30 116  1.6  3.4 99.00 99.00 99.00 999 1021.9  13.2 999.0  11.2 99.0 99.00 
2024 01 01 19 40 111  2.0  3.9  3.09 12.90 10.68 279 1021.7  13.3 999.0  11.3 99.0 99.00 
2024 01 01 19 50 123  2.0  3.4 99.00 99.00 99.00 999 1021.5  13.3 999.0  11.3 99.0 99.00 
2024 01 01 20 00 121  2.3  3.9 99.00 99.00 99.00 999 1021.4  13.3 999.0  11.4 99.0 99.00 
2024 01 01 20 10 118  2.4  5.1  3.12 12.90 10.71 268 1021.4  13.3 999.0  11.5 99.0 99.00 
2024 01 01 20 20 115  2.1  4.4 99.00 99.00 99.00 999 1021.3  13.4 999.0  11.5 99.0 99.00 
2024 01 01 20 30 128  1.9  3.5 99.00 99.00 99.00 999 1021.3  13.5 999.0  11.7 99.0 99.00 
2024 01 01 20 40 125  1.4  3.6  2.87 12.90 10.36 267 1021.3  13.5 999.0  11.6 99.0 99.00 
2024 01 01 20 50 128  0.9  2.2 99.00 99.00 99.00 999 1021.3  13.8 999.0  11.7 99.0 99.00 
2024 01 01 21 00 127  0.3  1.3 99.00 99.00 99.00 999 1021.2  14.1 999.0  11.7 99.0 99.00 
2024 01 01 21 10 180  0.3  1.2  2.67 12.90 10.12 274 1021.1  14.4 999.0  11.7 99.0 99.00 
2024 01 01 21 20 193  0.5  2.1 99.00 99.00 99.00 999 1021.0  14.5 999.0  11.7 99.0 99.00 
2024 01 01 21 30 207  0.6  1.8 99.00 99.00 99.00 999 1021.0  14.4 999.0  11.8 99.0 99.00 
2024 01 01 21 40 232  1.0  2.2  2.70 12.90 10.18 278 1021.0  14.3 999.0  11.7 99.0 99.00 
2024 01 01 21 50 251  1.4  3.0 99.00 99.00 99.00 999 1021.1  14.1 999.0  11.6 99.0 99.00 
2024 01 01 22 00 252  1.7  3.3 99.00 99.00 99.00 999 1021.1  14.0 999.0  11.6 99.0 99.00 
