#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 05 01 08 20 321 13.9 17.9 99.00 99.00 99.00 999 1016.5  10.4 999.0   8.3 99.0 99.00 
2024 05 01 08 30 321 13.9 17.0 99.00 99.00 99.00 999 1016.4  10.4 999.0   8.3 99.0 99.00 
2024 05 01 08 40 321 13.5 16.7  3.31  9.09  6.45 323 1016.5  10.4 999.0   8.4 99.0 99.00 
2024 05 01 08 50 321 13.7 16.8 99.00 99.00 99.00 999 1016.5  10.4 999.0   8.4 99.0 99.00 
2024 05 01 09 00 319 13.8 18.0 99.00 99.00 99.00 999 1016.4  10.3 999.0   8.3 99.0 99.00 
2024 05 01 09 10 317 13.8 17.4  3.12  8.33  6.48 316 1016.2  10.3 999.0   8.4 99.0 99.00 
2024 05 01 09 20 315 13.8 16.9 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.4 99.0 99.00 
2024 05 01 09 30 315 13.2 16.8 99.00 99.00 99.00 999 1016.4  10.3 999.0   8.4 99.0 99.00 
2024 05 01 09 40 316 13.6 16.9  3.04  8.33  6.41 323 1016.4  10.3 999.0   8.4 99.0 99.00 
2024 05 01 09 50 316 13.0 16.4 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.4 99.0 99.00 
2024 05 01 10 00 316 13.5 17.4 99.00 99.00 99.00 999 1016.1  10.2 999.0   8.3 99.0 99.00 
2024 05 01 10 10 314 13.7 17.0  3.13  8.33  6.24 316 1016.1  10.2 999.0   8.3 99.0 99.00 
2024 05 01 10 20 317 13.7 17.0 99.00 99.00 99.00 999 1016.1  10.2 999.0   8.3 99.0 99.00 
2024 05 01 10 30 318 13.5 17.1 99.00 99.00 99.00 999 1016.1  10.3 999.0   8.4 99.0 99.00 
2024 05 01 10 40 319 13.2 16.9  2.90  8.33  6.16 318 1016.1  10.3 999.0   8.3 99.0 99.00 
2024 05 01 10 50 318 13.5 17.2 99.00 99.00 99.00 999 1016.2  10.3 999.0   8.2 99.0 99.00 
2024 05 01 11 00 318 13.4 17.2 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.2 99.0 99.00 
2024 05 01 11 10 320 13.0 17.0  2.93  8.33  6.23 321 1016.3  10.3 999.0   8.2 99.0 99.00 
2024 05 01 11 20 321 12.8 16.0 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.2 99.0 99.00 
2024 05 01 11 30 320 13.1 16.1 99.00 99.00 99.00 999 1016.3  10.3 999.0   8.2 99.0 99.00 
2024 05 01 11 40 319 13.4 16.3  3.07  9.09  6.31 325 1016.2  10.3 999.0   8.1 99.0 99.00 
2024 05 01 11 50 319 13.1 16.3 99.00 99.00 99.00 999 1016.2  10.3 999.0   8.3 99.0 99.00 
2024 05 01 12 00 320 12.7 15.8 99.00 99.00 99.00 999 1016.2  10.2 999.0   8.2 99.0 99.00 
2024 05 01 12 10 321 12.4 15.2  3.01 11.43  6.38 315 1016.2  10.3 999.0   8.2 99.0 99.00 
2024 05 01 12 20 321 12.5 15.7 99.00 99.00 99.00 999 1016.2  10.3 999.0   8.2 99.0 99.00 
2024 05 01 12 30 319 13.1 16.4 99.00 99.00 99.00 999 1016.1  10.3 999.0   8.2 99.0 99.00 
