#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 06 02 02 10 317 12.0 14.6  2.31  7.14  5.23 318 1013.8  10.6 999.0  10.6 99.0 99.00 
2024 06 02 02 20 313 12.1 15.2 99.00 99.00 99.00 999 1013.8  10.6 999.0  10.6 99.0 99.00 
2024 06 02 02 30 310 12.0 15.2 99.00 99.00 99.00 999 1013.7  10.5 999.0  10.5 99.0 99.00 
2024 06 02 02 40 307 12.3 15.0  2.01  6.67  5.14 327 1013.8  10.4 999.0  10.4 99.0 99.00 
2024 06 02 02 50 307 11.9 14.1 99.00 99.00 99.00 999 1013.7  10.4 999.0  10.4 99.0 99.00 
2024 06 02 03 00 307 12.6 15.3 99.00 99.00 99.00 999 1013.6  10.4 999.0  10.4 99.0 99.00 
2024 06 02 03 10 312 12.1 15.0  2.06  7.14  5.18 315 1013.9  10.5 999.0  10.5 99.0 99.00 
2024 06 02 03 20 315 11.6 14.6 99.00 99.00 99.00 999 1013.9  10.5 999.0  10.5 99.0 99.00 
2024 06 02 03 30 314 11.5 14.8 99.00 99.00 99.00 999 1014.0  10.5 999.0  10.5 99.0 99.00 
2024 06 02 03 40 311 11.3 13.8  2.09  6.67  5.13 316 1014.0  10.4 999.0  10.4 99.0 99.00 
2024 06 02 03 50 313 10.7 13.7 99.00 99.00 99.00 999 1014.2  10.4 999.0  10.4 99.0 99.00 
2024 06 02 04 00 313 10.4 13.2 99.00 99.00 99.00 999 1014.1  10.3 999.0  10.3 99.0 99.00 
2024 06 02 04 10 311 10.9 13.4  2.04  7.14  5.10 318 1013.9  10.3 999.0  10.3 99.0 99.00 
2024 06 02 04 20 309 11.2 13.9 99.00 99.00 99.00 999 1014.0  10.3 999.0  10.3 99.0 99.00 
2024 06 02 04 30 312 11.2 13.7 99.00 99.00 99.00 999 1014.1  10.4 999.0  10.4 99.0 99.00 
2024 06 02 04 40 313 11.1 13.7  1.98  6.67  5.12 320 1014.0  10.4 999.0  10.4 99.0 99.00 
2024 06 02 04 50 314 10.5 13.8 99.00 99.00 99.00 999 1014.0  10.4 999.0  10.4 99.0 99.00 
2024 06 02 05 00 315 10.3 12.9 99.00 99.00 99.00 999 1014.2  10.4 999.0  10.4 99.0 99.00 
2024 06 02 05 10 318  9.8 12.3  1.83  6.25  4.98 323 1014.3  10.4 999.0  10.4 99.0 99.00 
2024 06 02 05 20 319  9.8 13.1 99.00 99.00 99.00 999 1014.4  10.3 999.0  10.3 99.0 99.00 
2024 06 02 05 30 318 10.1 12.7 99.00 99.00 99.00 999 1014.4  10.4 999.0  10.4 99.0 99.00 
2024 06 02 05 40 310 10.7 12.9  1.94  6.25  5.15 310 1014.3  10.4 999.0  10.4 99.0 99.00 
2024 06 02 05 50 310 10.8 13.2 99.00 99.00 99.00 999 1014.3  10.4 999.0  10.4 99.0 99.00 
2024 06 02 06 00 309 10.8 13.4 99.00 99.00 99.00 999 1014.2  10.5 999.0  10.5 99.0 99.00 
2024 06 02 06 10 308 10.8 13.6  1.79  6.25  4.99 324 1014.3  10.5 999.0  10.5 99.0 99.00 
2024 06 02 06 20 307 10.9 13.6 99.00 99.00 99.00 999 1014.2  10.5 999.0  10.5 99.0 99.00 
2024 06 02 06 30 307 11.1 13.4 99.00 99.00 99.00 999 1014.2  10.5 999.0  10.5 99.0 99.00 
2024 06 02 06 40 307 11.1 14.0  1.64  6.67  4.81 317 1014.2  10.5 999.0  10.5 99.0 99.00 
2024 06 02 06 50 306 11.1 13.6 99.00 99.00 99.00 999 1014.1  10.5 999.0  10.5 99.0 99.00 
2024 06 02 07 00 305 11.8 14.6 99.00 99.00 99.00 999 1014.0  10.5 999.0  10.5 99.0 99.00 
2024 06 02 07 10 308 11.5 14.6  1.80  5.26  4.85 327 1014.0  10.5 999.0  10.5 99.0 99.00 
2024 06 02 07 20 306 11.4 13.5 99.00 99.00 99.00 999 1013.9  10.5 999.0  10.5 99.0 99.00 
2024 06 02 07 30 304 11.6 14.2 99.00 99.00 99.00 999 1013.9  10.5 999.0  10.5 99.0 99.00 
2024 06 02 07 40 303 11.6 14.7  1.83  5.88  4.95 318 1013.9  10.6 999.0  10.6 99.0 99.00 
2024 06 02 07 50 305 11.4 14.2 99.00 99.00 99.00 999 1013.9  10.6 999.0  10.6 99.0 99.00 
2024 06 02 08 00 305 11.6 14.5 99.00 99.00 99.00 999 1013.8  10.6 999.0  10.6 99.0 99.00 
2024 06 02 08 10 304 12.1 14.8  1.81  6.25  4.99 306 1013.7  10.5 999.0  10.5 99.0 99.00 
2024 06 02 08 20 303 11.7 14.6 99.00 99.00 99.00 999 1013.7  10.4 999.0  10.4 99.0 99.00 
2024 06 02 08 30 303 11.8 14.3 99.00 99.00 99.00 999 1013.8  10.5 999.0  10.5 99.0 99.00 
2024 06 02 08 40 303 11.3 14.1  1.79  6.25  4.94 314 1013.7  10.4 999.0  10.4 99.0 99.00 
2024 06 02 08 50 300 11.0 13.7 99.00 99.00 99.00 999 1013.7  10.3 999.0  10.3 99.0 99.00 
2024 06 02 09 00 299 11.1 13.7 99.00 99.00 99.00 999 1013.7  10.3 999.0  10.3 99.0 99.00 
2024 06 02 09 10 300 11.3 14.5  1.76  5.00  4.83 318 1013.5  10.5 999.0  10.5 99.0 99.00 
2024 06 02 09 20 300 11.9 14.6 99.00 99.00 99.00 999 1013.4  10.5 999.0  10.5 99.0 99.00 
2024 06 02 09 30 301 11.4 14.1 99.00 99.00 99.00 999 1013.4  10.4 999.0  10.4 99.0 99.00 
2024 06 02 09 40 300 11.9 14.4  1.64  6.25  4.68 295 1013.4  10.5 999.0  10.5 99.0 99.00 
2024 06 02 09 50 300 11.9 14.5 99.00 99.00 99.00 999 1013.6  10.4 999.0  10.4 99.0 99.00 
2024 06 02 10 00 301 11.7 14.5 99.00 99.00 99.00 999 1013.6  10.4 999.0  10.4 99.0 99.00 
2024 06 02 10 10 303 12.1 14.6  1.68  5.56  4.62 310 1013.6  10.5 999.0  10.5 99.0 99.00 
2024 06 02 10 20 303 11.9 14.4 99.00 99.00 99.00 999 1013.8  10.4 999.0  10.4 99.0 99.00 
2024 06 02 10 30 304 11.9 14.7 99.00 99.00 99.00 999 1013.8  10.5 999.0  10.5 99.0 99.00 
2024 06 02 10 40 305 11.3 13.4  1.51  5.00  4.60 316 1013.9  10.4 999.0  10.4 99.0 99.00 
2024 06 02 10 50 305 10.9 14.4 99.00 99.00 99.00 999 1013.9  10.4 999.0  10.4 99.0 99.00 
2024 06 02 11 00 306 10.1 12.1 99.00 99.00 99.00 999 1014.0  10.4 999.0  10.4 99.0 99.00 
2024 06 02 11 10 307 10.3 12.6  1.55  5.26  4.60 304 1013.9  10.4 999.0  10.4 99.0 99.00 
2024 06 02 11 20 308 10.3 12.9 99.00 99.00 99.00 999 1013.9  10.4 999.0  10.4 99.0 99.00 
2024 06 02 11 30 309 10.5 13.3 99.00 99.00 99.00 999 1013.9  10.4 999.0  10.4 99.0 99.00 
2024 06 02 11 40 308 11.1 14.6  1.40  5.00  4.46 318 1013.8  10.3 999.0  10.3 99.0 99.00 
2024 06 02 11 50 307 11.3 13.6 99.00 99.00 99.00 999 1013.8  10.4 999.0  10.4 99.0 99.00 
2024 06 02 12 00 307 11.9 14.4 99.00 99.00 99.00 999 1013.7  10.3 999.0  10.3 99.0 99.00 
2024 06 02 12 10 306 11.9 14.6  1.49 16.00  4.62 182 1013.8  10.3 999.0  10.3 99.0 99.00 
2024 06 02 12 20 306 11.9 14.5 99.00 99.00 99.00 999 1013.7  10.2 999.0  10.2 99.0 99.00 
