#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 07 18 12 40 320 11.0 14.0    MM    MM    MM  MM 1014.9  12.7    MM  12.7   MM   MM    MM
2024 07 18 12 30 320 10.0 13.0    MM    MM    MM  MM 1014.8  12.8    MM  12.8   MM   MM    MM
2024 07 18 12 20 310 10.0 12.0   1.8     5   5.2 321 1014.8  12.7    MM  12.7   MM   MM    MM
2024 07 18 12 10 310 11.0 14.0    MM    MM    MM  MM 1014.7  12.7    MM  12.7   MM   MM    MM
2024 07 18 12 00 310 12.0 14.0    MM    MM    MM  MM 1014.7  12.7    MM  12.7   MM -0.4    MM
2024 07 18 11 50 310 11.0 14.0   1.8     5   5.0 321 1014.5  12.8    MM  12.8   MM   MM    MM
2024 07 18 11 40 310 12.0 15.0    MM    MM    MM  MM 1014.5  12.8    MM  12.8   MM   MM    MM
2024 07 18 11 30 310 11.0 13.0    MM    MM    MM  MM 1014.5  12.8    MM  12.8   MM   MM    MM
2024 07 18 11 20 310 11.0 14.0   1.8    16   5.2 191 1014.6  12.8    MM  12.8   MM   MM    MM
2024 07 18 11 10 310 11.0 14.0   1.8    MM   5.2 191 1014.6  12.8    MM  12.8   MM   MM    MM
2024 07 18 11 00 310 11.0 13.0    MM    MM    MM  MM 1014.6  12.8    MM  12.8   MM -0.7    MM
2024 07 18 10 50 310 11.0 14.0   1.8    16   5.3 202 1014.6  12.7    MM  12.7   MM   MM    MM
2024 07 18 10 40 310 11.0 13.0    MM    MM    MM  MM 1014.6  12.8    MM  12.8   MM   MM    MM
2024 07 18 10 30 310 11.0 14.0    MM    MM    MM  MM 1014.7  12.8    MM  12.8   MM   MM    MM
2024 07 18 10 20 310 11.0 13.0   1.6    16   5.0 269 1014.7  12.8    MM  12.8   MM   MM    MM
2024 07 18 10 10 310 11.0 13.0   1.6    MM   5.0 269 1014.8  12.8    MM  12.7   MM   MM    MM
2024 07 18 10 00 310 11.0 13.0    MM    MM    MM  MM 1015.0  12.9    MM  12.8   MM +0.0    MM
2024 07 18 09 50 310 11.0 13.0   1.8    17   5.3 182 1015.0  13.0    MM  12.9   MM   MM    MM
2024 07 18 09 40 310 11.0 13.0    MM    MM    MM  MM 1015.0  13.1    MM  12.9   MM   MM    MM
2024 07 18 09 30 310 11.0 14.0    MM    MM    MM  MM 1015.0  13.3    MM  13.1   MM   MM    MM
2024 07 18 09 20 310 11.0 14.0   1.7    16   5.2 236 1015.0  13.3    MM  13.1   MM   MM    MM
2024 07 18 09 10 310 11.0 13.0   1.7    MM   5.2 236 1015.1  13.3    MM  13.1   MM   MM    MM
2024 07 18 09 00 310 10.0 13.0    MM    MM    MM  MM 1015.2  13.3    MM  13.0   MM +0.0    MM
2024 07 18 08 50 310 10.0 13.0   1.7    16   5.1 239 1015.3  13.4    MM  13.1   MM   MM    MM
2024 07 18 08 40 310 10.0 13.0    MM    MM    MM  MM 1015.3  13.3    MM  13.0   MM   MM    MM
2024 07 18 08 30 310 10.0 12.0    MM    MM    MM  MM 1015.3  13.4    MM  13.0   MM   MM    MM
2024 07 18 08 20 310 10.0 12.0   1.8     5   5.1 321 1015.3  13.5    MM  13.1   MM   MM    MM
2024 07 18 08 10 310 10.0 12.0   1.8    MM   5.1 321 1015.5  13.5    MM  13.1   MM   MM    MM
2024 07 18 08 00 310 10.0 12.0    MM    MM    MM  MM 1015.3  13.5    MM  13.1   MM -0.3    MM
2024 07 18 07 50 310 10.0 12.0   1.7     5   5.0 317 1015.3  13.5    MM  13.1   MM   MM    MM
2024 07 18 07 40 310 10.0 12.0    MM    MM    MM  MM 1015.2  13.5    MM  13.1   MM   MM    MM
2024 07 18 07 30 310 10.0 13.0    MM    MM    MM  MM 1015.2  13.6    MM  13.2   MM   MM    MM
2024 07 18 07 20 310 10.0 13.0   1.8    16   5.2 238 1015.2  13.6    MM  13.2   MM   MM    MM
2024 07 18 07 10 310 10.0 14.0   1.8    MM   5.2 238 1015.2  13.6    MM  13.2   MM   MM    MM
2024 07 18 07 00 310 11.0 13.0    MM    MM    MM  MM 1015.1  13.6    MM  13.2   MM +0.0    MM
2024 07 18 06 50 310 11.0 13.0   1.7     6   4.9 317 1015.1  13.6    MM  13.2   MM   MM    MM
2024 07 18 06 40 310 10.0 13.0    MM    MM    MM  MM 1015.2  13.7    MM  13.3   MM   MM    MM
2024 07 18 06 30 310 10.0 13.0    MM    MM    MM  MM 1015.1  13.7    MM  13.3   MM   MM    MM
2024 07 18 06 20 310 10.0 12.0   1.7    16   4.8 256 1015.2  13.7    MM  13.3   MM   MM    MM
2024 07 18 06 10 310 10.0 13.0   1.7    MM   4.8 256 1015.2  13.6    MM  13.2   MM   MM    MM
2024 07 18 06 00 310 10.0 12.0    MM    MM    MM  MM 1015.2  13.7    MM  13.3   MM +0.0    MM
2024 07 18 05 50 310 10.0 12.0   1.7     5   4.9 318 1015.1  13.7    MM  13.3   MM   MM    MM
2024 07 18 05 40 310 10.0 12.0    MM    MM    MM  MM 1015.2  13.7    MM  13.3   MM   MM    MM
2024 07 18 05 30 310 10.0 12.0    MM    MM    MM  MM 1015.2  13.8    MM  13.4   MM   MM    MM
2024 07 18 05 20 310 10.0 13.0   1.7    17   5.1 279 1015.2  13.7    MM  13.3   MM   MM    MM
2024 07 18 05 10 310 10.0 13.0   1.7    MM   5.1 279 1015.1  13.8    MM  13.4   MM   MM    MM
2024 07 18 05 00 310 10.0 12.0    MM    MM    MM  MM 1015.2  13.8    MM  13.4   MM -0.0    MM
2024 07 18 04 50 310 11.0 13.0   1.7    16   4.9 277 1015.2  13.8    MM  13.5   MM   MM    MM
2024 07 18 04 40 310 10.0 13.0   1.7    MM   4.9 277 1015.1  13.7    MM  13.5   MM   MM    MM
2024 07 18 04 30 300 10.0 12.0    MM    MM    MM  MM 1015.1  13.7    MM  13.5   MM   MM    MM
2024 07 18 04 20 300 10.0 13.0   1.7    17   5.0 231 1015.0  13.6    MM  13.4   MM   MM    MM
2024 07 18 04 10 300 10.0 13.0   1.7    MM   5.0 231 1015.0  13.6    MM  13.4   MM   MM    MM
2024 07 18 04 00 310 10.0 12.0    MM    MM    MM  MM 1015.1  13.6    MM  13.4   MM -0.4    MM
2024 07 18 03 50 310 10.0 13.0   1.6    16   5.0 224 1015.0  13.6    MM  13.4   MM   MM    MM
2024 07 18 03 40 310 10.0 12.0   1.6    MM   5.0 224 1014.9  13.7    MM  13.5   MM   MM    MM
2024 07 18 03 30 310 10.0 12.0    MM    MM    MM  MM 1015.0  13.7    MM  13.5   MM   MM    MM
2024 07 18 03 20 300  9.0 13.0   1.6     5   4.9 325 1014.9  13.6    MM  13.5   MM   MM    MM
2024 07 18 03 10 310 10.0 13.0    MM    MM    MM  MM 1015.0  13.7    MM  13.5   MM   MM    MM
2024 07 18 03 00 300  9.0 12.0    MM    MM    MM  MM 1015.0  13.7    MM  13.6   MM -0.9    MM
2024 07 18 02 50 300  9.0 12.0   1.6     5   4.9 320 1015.0  13.6    MM  13.5   MM   MM    MM
2024 07 18 02 40 300  9.0 12.0    MM    MM    MM  MM 1015.2  13.7    MM  13.6   MM   MM    MM
2024 07 18 02 30 300 10.0 13.0    MM    MM    MM  MM 1015.1  13.8    MM  13.6   MM   MM    MM
2024 07 18 02 20 300  9.0 12.0   1.6    16   5.0 216 1015.2  13.7    MM  13.6   MM   MM    MM
2024 07 18 02 10 300 10.0 12.0   1.6    MM   5.0 216 1015.2  13.7    MM  13.6   MM   MM    MM
2024 07 18 02 00 300  9.0 12.0    MM    MM    MM  MM 1015.3  13.7    MM  13.5   MM -1.7    MM
2024 07 18 01 50 300 10.0 12.0   1.6     5   4.9 316 1015.3  13.8    MM  13.6   MM   MM    MM
2024 07 18 01 40 300 10.0 12.0   1.6    MM   4.9 316 1015.2  13.9    MM  13.7   MM   MM    MM
2024 07 18 01 30 300 10.0 12.0    MM    MM    MM  MM 1015.4  13.9    MM  13.7   MM   MM    MM
2024 07 18 01 20 300  9.0 12.0   1.4    17   4.9 260 1015.4  14.0    MM  13.8   MM   MM    MM
2024 07 18 01 10 300  9.0 11.0   1.4    MM   4.9 260 1015.5  14.0    MM  13.7   MM   MM    MM
2024 07 18 01 00 300  9.0 11.0    MM    MM    MM  MM 1015.5  14.0    MM  13.6   MM -2.0    MM
2024 07 18 00 50 300  9.0 12.0   1.4    16   5.0 195 1015.6  14.1    MM  13.7   MM   MM    MM
2024 07 18 00 40 300  9.0 11.0    MM    MM    MM  MM 1015.6  14.1    MM  13.7   MM   MM    MM
2024 07 18 00 30 300  9.0 12.0    MM    MM    MM  MM 1015.6  14.1    MM  13.7   MM   MM    MM
2024 07 18 00 20 300  9.0 11.0   1.3    16   5.0 215 1015.8  14.0    MM  13.6   MM   MM    MM
2024 07 18 00 10 300  9.0 11.0   1.3    MM   5.0 215 1015.8  14.0    MM  13.6   MM   MM    MM
2024 07 18 00 00 300  9.0 11.0    MM    MM    MM  MM 1015.9  13.9    MM  13.5   MM -1.7    MM
2024 07 17 23 50 300  9.0 11.0   1.3    16   5.1 215 1015.9  13.9    MM  13.5   MM   MM    MM
2024 07 17 23 40 300  8.0 10.0    MM    MM    MM  MM 1016.2  13.9    MM  13.5   MM   MM    MM
2024 07 17 23 30 300  8.0 10.0    MM    MM    MM  MM 1016.5  13.8    MM  13.5   MM   MM    MM
2024 07 17 23 20 300  8.0 10.0   1.2    17   5.1 103 1016.5  13.8    MM  13.5   MM   MM    MM
2024 07 17 23 10 300  8.0 10.0    MM    MM    MM  MM 1016.7  13.8    MM  13.6   MM   MM    MM
2024 07 17 23 00 300  8.0  9.0    MM    MM    MM  MM 1017.0  13.8    MM  13.6   MM -1.0    MM
2024 07 17 22 50 300  8.0  9.0   1.3    17   5.6 233 1017.1  13.8    MM  13.6   MM   MM    MM
2024 07 17 22 40 290  8.0 10.0    MM    MM    MM  MM 1017.1  13.7    MM  13.5   MM   MM    MM
2024 07 17 22 30 290  8.0  9.0    MM    MM    MM  MM 1017.2  13.6    MM  13.4   MM   MM    MM
2024 07 17 22 20 290  8.0  9.0   1.2    16   5.4 198 1017.3  13.6    MM  13.4   MM   MM    MM
2024 07 17 22 10 300  8.0  9.0   1.2    MM   5.4 198 1017.4  13.6    MM  13.4   MM   MM    MM
2024 07 17 22 00 300  8.0 10.0    MM    MM    MM  MM 1017.5  13.6    MM  13.4   MM -0.9    MM
2024 07 17 21 50 300  8.0  9.0   1.2    17   6.2 200 1017.5  13.7    MM  13.5   MM   MM    MM
2024 07 17 21 40 300  7.0  8.0    MM    MM    MM  MM 1017.7  13.7    MM  13.5   MM   MM    MM
2024 07 17 21 30 300  7.0  9.0    MM    MM    MM  MM 1017.6  13.6    MM  13.4   MM   MM    MM
2024 07 17 21 20 300  7.0  8.0   1.1    16   5.7 229 1017.6  13.5    MM  13.3   MM   MM    MM
2024 07 17 21 10 300  7.0  8.0   1.1    MM   5.7 229 1017.7  13.5    MM  13.3   MM   MM    MM
2024 07 17 21 00 300  7.0  8.0    MM    MM    MM  MM 1017.8  13.5    MM  13.3   MM -0.6    MM
2024 07 17 20 50 300  6.0  8.0   1.2    16   6.6 198 1017.8  13.4    MM  13.2   MM   MM    MM
2024 07 17 20 40 300  6.0  8.0   1.2    MM   6.6 198 1017.9  13.4    MM  13.2   MM   MM    MM
2024 07 17 20 30 300  7.0  9.0    MM    MM    MM  MM 1017.9  13.4    MM  13.2   MM   MM    MM
2024 07 17 20 20 290  7.0  9.0   1.1    17   6.5 204 1017.9  13.4    MM  13.2   MM   MM    MM
2024 07 17 20 10 300  7.0  9.0   1.1    MM   6.5 204 1018.1  13.4    MM  13.2   MM   MM    MM
2024 07 17 20 00 300  7.0  9.0    MM    MM    MM  MM 1018.1  13.4    MM  13.2   MM +0.0    MM
2024 07 17 19 50 300  7.0  9.0   1.0    17   6.2 186 1018.1  13.4    MM  13.2   MM   MM    MM
2024 07 17 19 40 300  6.0  8.0    MM    MM    MM  MM 1018.2  13.3    MM  13.1   MM   MM    MM
2024 07 17 19 30 300  6.0  8.0    MM    MM    MM  MM 1018.2  13.3    MM  13.1   MM   MM    MM
2024 07 17 19 20 300  6.0  8.0   1.2    17   6.8 213 1018.4  13.1    MM  13.0   MM   MM    MM
2024 07 17 19 10 300  6.0  8.0   1.2    MM   6.8 213 1018.3  13.1    MM  13.0   MM   MM    MM
2024 07 17 19 00 310  6.0  7.0    MM    MM    MM  MM 1018.4  13.2    MM  13.0   MM +0.6    MM
2024 07 17 18 50 300  5.0  6.0   1.1    16   6.8 235 1018.4  13.3    MM  13.1   MM   MM    MM
2024 07 17 18 40 300  5.0  7.0   1.1    MM   6.8 235 1018.4  13.3    MM  13.1   MM   MM    MM
2024 07 17 18 30 300  5.0  6.0    MM    MM    MM  MM 1018.4  13.2    MM  13.0   MM   MM    MM
2024 07 17 18 20 300  4.0  6.0   1.2    17   7.1 190 1018.4  13.1    MM  12.9   MM   MM    MM
2024 07 17 18 10 300  5.0  6.0   1.2    MM   7.1 190 1018.4  13.1    MM  12.9   MM   MM    MM
2024 07 17 18 00 290  5.0  7.0    MM    MM    MM  MM 1018.3  13.0    MM  12.8   MM +1.0    MM
2024 07 17 17 50 290  7.0  9.0   1.1    17   6.1 212 1018.0  12.9    MM  12.7   MM   MM    MM
2024 07 17 17 40 300  7.0  9.0    MM    MM    MM  MM 1017.8  12.9    MM  12.7   MM   MM    MM
2024 07 17 17 30 300  7.0  9.0    MM    MM    MM  MM 1017.8  12.9    MM  12.6   MM   MM    MM
2024 07 17 17 20 300  7.0  9.0   1.1    17   6.1 184 1017.8  12.9    MM  12.7   MM   MM    MM
2024 07 17 17 10 300  6.0  7.0    MM    MM    MM  MM 1017.9  12.8    MM  12.6   MM   MM    MM
2024 07 17 17 00 310  6.0  7.0    MM    MM    MM  MM 1018.0  12.8    MM  12.6   MM +0.9    MM
2024 07 17 16 50 300  6.0  7.0   0.9    17   5.5 329 1017.9  12.8    MM  12.6   MM   MM    MM
2024 07 17 16 40 310  7.0  9.0    MM    MM    MM  MM 1017.7  12.7    MM  12.5   MM   MM    MM
2024 07 17 16 30 310  7.0  9.0    MM    MM    MM  MM 1017.6  12.8    MM  12.5   MM   MM    MM
2024 07 17 16 20 310  6.0  8.0   1.0    17   6.0 258 1017.8  12.9    MM  12.5   MM   MM    MM
2024 07 17 16 10 310  6.0  7.0   1.0    MM   6.0 258 1017.7  12.9    MM  12.5   MM   MM    MM
2024 07 17 16 00 310  7.0  8.0    MM    MM    MM  MM 1017.7  12.9    MM  12.5   MM +1.2    MM
2024 07 17 15 50 310  6.0  7.0   1.1    17   6.0 190 1017.8  12.9    MM  12.5   MM   MM    MM
2024 07 17 15 40 320  6.0  6.0   1.1    MM   6.0 190 1017.7  12.9    MM  12.5   MM   MM    MM
2024 07 17 15 30 320  6.0  7.0    MM    MM    MM  MM 1017.7  12.9    MM  12.5   MM   MM    MM
2024 07 17 15 20 320  5.0  7.0   1.1    17   5.9 238 1017.7  12.8    MM  12.4   MM   MM    MM
2024 07 17 15 10 320  6.0  7.0   1.1    MM   5.9 238 1017.6  12.8    MM  12.4   MM   MM    MM
2024 07 17 15 00 330  6.0  7.0    MM    MM    MM  MM 1017.5  12.9    MM  12.5   MM +1.1    MM
2024 07 17 14 50 320  6.0  7.0   1.2    17   5.4 205 1017.5  13.1    MM  12.6   MM   MM    MM
2024 07 17 14 40 320  6.0  8.0    MM    MM    MM  MM 1017.4  13.1    MM  12.6   MM   MM    MM
2024 07 17 14 30 320  7.0  9.0    MM    MM    MM  MM 1017.2  13.1    MM  12.6   MM   MM    MM
2024 07 17 14 20 320  7.0  9.0   1.0    17   4.8 205 1017.1  13.0    MM  12.6   MM   MM    MM
2024 07 17 14 10 320  7.0  9.0   1.0    MM   4.8 205 1017.0  13.0    MM  12.5   MM   MM    MM
2024 07 17 14 00 320  7.0 10.0    MM    MM    MM  MM 1017.1  13.1    MM  12.6   MM +0.7    MM
2024 07 17 13 50 320  7.0  9.0   1.1    17   5.6 233 1017.0  13.1    MM  12.6   MM   MM    MM
2024 07 17 13 40 320  8.0 10.0   1.1    MM   5.6 233 1016.9  13.1    MM  12.6   MM   MM    MM
2024 07 17 13 30 330  7.0  9.0    MM    MM    MM  MM 1016.7  13.3    MM  12.8   MM   MM    MM
2024 07 17 13 20 330  7.0  9.0   1.0    17   5.0 229 1016.5  13.3    MM  12.8   MM   MM    MM
2024 07 17 13 10 320  6.0  7.0   1.0    MM   5.0 229 1016.6  13.3    MM  12.8   MM   MM    MM
2024 07 17 13 00 320  6.0  8.0    MM    MM    MM  MM 1016.5  13.3    MM  12.8   MM +0.0    MM
2024 07 17 12 50 330  7.0  8.0   0.9    16   5.2 231 1016.4  13.3    MM  12.8   MM   MM    MM
2024 07 17 12 40 320  6.0  8.0    MM    MM    MM  MM 1016.4  13.3    MM  12.8   MM   MM    MM
2024 07 17 12 30 320  7.0  9.0    MM    MM    MM  MM 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 12 20 320  7.0  9.0   1.0    17   6.4 204 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 12 10 320  6.0  8.0    MM    MM    MM  MM 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 12 00 320  7.0  8.0    MM    MM    MM  MM 1016.4  13.3    MM  12.8   MM -0.3    MM
2024 07 17 11 50 320  7.0  8.0   1.0    19   6.9 232 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 11 40 320  6.0  8.0    MM    MM    MM  MM 1016.3  13.3    MM  12.9   MM   MM    MM
2024 07 17 11 30 310  6.0  7.0    MM    MM    MM  MM 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 11 20 320  6.0  7.0   0.9    17   6.6 216 1016.3  13.4    MM  12.9   MM   MM    MM
2024 07 17 11 10 320  5.0  7.0    MM    MM    MM  MM 1016.3  13.4    MM  12.9   MM   MM    MM
2024 07 17 11 00 320  6.0  7.0    MM    MM    MM  MM 1016.3  13.4    MM  12.9   MM -0.4    MM
2024 07 17 10 50 320  6.0  8.0   1.0    16   7.6 215 1016.3  13.4    MM  12.8   MM   MM    MM
2024 07 17 10 40 320  5.0  8.0    MM    MM    MM  MM 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 10 30 320  5.0  7.0    MM    MM    MM  MM 1016.3  13.3    MM  12.8   MM   MM    MM
2024 07 17 10 20 320  4.0  6.0   1.0    17   7.5 207 1016.4  13.3    MM  12.8   MM   MM    MM
2024 07 17 10 10 320  4.0  6.0   1.0    MM   7.5 207 1016.3  13.2    MM  12.7   MM   MM    MM
2024 07 17 10 00 320  4.0  5.0    MM    MM    MM  MM 1016.4  13.0    MM  12.6   MM +0.0    MM
2024 07 17 09 50 320  4.0  5.0   0.9    17   6.9 228 1016.5  13.0    MM  12.6   MM   MM    MM
2024 07 17 09 40 330  4.0  4.0    MM    MM    MM  MM 1016.6  13.0    MM  12.6   MM   MM    MM
2024 07 17 09 30 330  4.0  6.0    MM    MM    MM  MM 1016.6  13.1    MM  12.7   MM   MM    MM
2024 07 17 09 20 330  5.0  6.0   0.9    17   6.7 224 1016.6  13.0    MM  12.5   MM   MM    MM
2024 07 17 09 10 320  4.0  6.0   0.9    MM   6.7 224 1016.6  13.1    MM  12.6   MM   MM    MM
2024 07 17 09 00 320  5.0  6.0    MM    MM    MM  MM 1016.6  13.0    MM  12.7   MM +0.0    MM
2024 07 17 08 50 320  5.0  6.0   0.9    17   7.5 225 1016.6  13.0    MM  12.8   MM   MM    MM
2024 07 17 08 40 320  5.0  7.0    MM    MM    MM  MM 1016.6  13.2    MM  12.8   MM   MM    MM
2024 07 17 08 30 310  4.0  6.0    MM    MM    MM  MM 1016.6  13.3    MM  12.8   MM   MM    MM
2024 07 17 08 20 310  4.0  6.0   1.0    17   8.4 214 1016.7  13.2    MM  12.7   MM   MM    MM
2024 07 17 08 10 320  4.0  5.0   1.0    MM   8.4 214 1016.7  13.2    MM  12.7   MM   MM    MM
2024 07 17 08 00 310  3.0  4.0    MM    MM    MM  MM 1016.8  13.2    MM  12.7   MM +0.0    MM
2024 07 17 07 50 310  4.0  5.0   0.9    17   7.7 234 1016.8  13.0    MM  12.6   MM   MM    MM
2024 07 17 07 40 310  3.0  5.0   0.9    MM   7.7 234 1016.8  13.1    MM  12.7   MM   MM    MM
2024 07 17 07 30 310  3.0  4.0    MM    MM    MM  MM 1016.8  13.1    MM  12.6   MM   MM    MM
2024 07 17 07 20 300  4.0  5.0   0.9    17   7.8 222 1016.8  13.4    MM  12.8   MM   MM    MM
2024 07 17 07 10 310  3.0  4.0   0.9    MM   7.8 222 1016.7  13.3    MM  12.6   MM   MM    MM
2024 07 17 07 00 310  4.0  5.0    MM    MM    MM  MM 1016.6  13.3    MM  12.6   MM +0.0    MM
2024 07 17 06 50 300  4.0  5.0   0.9    17   8.2 207 1016.6  13.3    MM  12.6   MM   MM    MM
2024 07 17 06 40 310  3.0  4.0    MM    MM    MM  MM 1016.6  13.3    MM  12.6   MM   MM    MM
2024 07 17 06 30 300  3.0  5.0    MM    MM    MM  MM 1016.6  13.4    MM  12.7   MM   MM    MM
2024 07 17 06 20 280  4.0  5.0   0.9    19   7.7 217 1016.6  13.4    MM  12.7   MM   MM    MM
2024 07 17 06 10 290  3.0  4.0   0.9    MM   7.7 217 1016.6  13.7    MM  12.8   MM   MM    MM
2024 07 17 06 00 290  3.0  5.0    MM    MM    MM  MM 1016.7  13.7    MM  12.7   MM +0.0    MM
2024 07 17 05 50 280  3.0  4.0   0.9    17   8.2 232 1016.7  13.5    MM  12.8   MM   MM    MM
2024 07 17 05 40 280  3.0  4.0    MM    MM    MM  MM 1016.8  13.4    MM  12.7   MM   MM    MM
2024 07 17 05 30 290  3.0  4.0    MM    MM    MM  MM 1016.6  13.7    MM  12.8   MM   MM    MM
2024 07 17 05 20 300  4.0  5.0   0.9    17   9.0 217 1016.6  14.1    MM  13.0   MM   MM    MM
2024 07 17 05 10 280  4.0  5.0   0.9    MM   9.0 217 1016.6  14.0    MM  12.9   MM   MM    MM
2024 07 17 05 00 300  4.0  5.0    MM    MM    MM  MM 1016.6  14.1    MM  12.9   MM +0.3    MM
2024 07 17 04 50 290  3.0  4.0   0.8    16   8.5 228 1016.6  14.0    MM  12.9   MM   MM    MM
2024 07 17 04 40 300  4.0  5.0    MM    MM    MM  MM 1016.6  14.4    MM  13.0   MM   MM    MM
2024 07 17 04 30 300  4.0  6.0    MM    MM    MM  MM 1016.5  14.4    MM  13.0   MM   MM    MM
2024 07 17 04 20 300  4.0  6.0   0.8    17   8.5 201 1016.6  14.4    MM  13.0   MM   MM    MM
2024 07 17 04 10 290  3.0  5.0   0.8    MM   8.5 201 1016.6  14.1    MM  13.0   MM   MM    MM
2024 07 17 04 00 280  3.0  4.0    MM    MM    MM  MM 1016.6  14.2    MM  13.0   MM +0.0    MM
2024 07 17 03 50 280  3.0  3.0   0.8    16   8.4 216 1016.6  14.4    MM  12.9   MM   MM    MM
2024 07 17 03 40 290  3.0  4.0   0.8    MM   8.4 216 1016.6  14.7    MM  13.0   MM   MM    MM
2024 07 17 03 30 290  4.0  6.0    MM    MM    MM  MM 1016.5  15.0    MM  13.1   MM   MM    MM
2024 07 17 03 20 280  4.0  5.0   0.9    17   9.0 218 1016.5  14.6    MM  13.0   MM   MM    MM
2024 07 17 03 10 280  3.0  4.0   0.9    MM   9.0 218 1016.5  14.4    MM  12.9   MM   MM    MM
2024 07 17 03 00 280  3.0  3.0    MM    MM    MM  MM 1016.5  14.5    MM  13.0   MM -0.3    MM
2024 07 17 02 50 280  3.0  4.0   0.8    16   8.6 216 1016.5  14.7    MM  12.9   MM   MM    MM
2024 07 17 02 40 270  4.0  6.0    MM    MM    MM  MM 1016.4  15.1    MM  12.9   MM   MM    MM
2024 07 17 02 30 270  3.0  4.0    MM    MM    MM  MM 1016.4  14.6    MM  13.1   MM   MM    MM
2024 07 17 02 20 280  2.0  3.0   0.8    17   8.7 223 1016.3  14.7    MM  13.1   MM   MM    MM
2024 07 17 02 10 270  2.0  3.0   0.8    MM   8.7 223 1016.3  14.6    MM  13.1   MM   MM    MM
2024 07 17 02 00 260  2.0  3.0    MM    MM    MM  MM 1016.3  14.7    MM  13.1   MM -0.8    MM
2024 07 17 01 50 270  2.0  3.0   0.8    19   8.0 215 1016.3  14.8    MM  13.1   MM   MM    MM
2024 07 17 01 40 260  2.0  3.0    MM    MM    MM  MM 1016.3  14.9    MM  13.2   MM   MM    MM
2024 07 17 01 30 260  2.0  3.0    MM    MM    MM  MM 1016.2  14.9    MM  13.3   MM   MM    MM
2024 07 17 01 20 250  2.0  3.0   0.9    17   8.5 215 1016.3  14.9    MM  13.3   MM   MM    MM
2024 07 17 01 10 250  2.0  3.0   0.9    MM   8.5 215 1016.4  15.1    MM  13.5   MM   MM    MM
2024 07 17 01 00 250  2.0  3.0    MM    MM    MM  MM 1016.4  15.0    MM  13.5   MM -0.9    MM
2024 07 17 00 50 230  2.0  3.0   0.9    17   7.9 230 1016.4  15.1    MM  13.4   MM   MM    MM
2024 07 17 00 40 240  2.0  2.0    MM    MM    MM  MM 1016.5  15.2    MM  13.5   MM   MM    MM
2024 07 17 00 30 240  2.0  3.0    MM    MM    MM  MM 1016.6  15.2    MM  13.4   MM   MM    MM
2024 07 17 00 20 240  2.0  3.0   0.9    17   8.2 218 1016.5  15.3    MM  13.6   MM   MM    MM
2024 07 17 00 10 230  2.0  3.0    MM    MM    MM  MM 1016.6  15.5    MM  13.5   MM   MM    MM
2024 07 17 00 00 230  2.0  3.0    MM    MM    MM  MM 1016.7  15.6    MM  13.4   MM -0.8    MM
2024 07 16 23 50 220  2.0  3.0   0.9    17   7.8 215 1016.7  15.6    MM  13.3   MM   MM    MM
2024 07 16 23 40 220  2.0  3.0    MM    MM    MM  MM 1016.8  15.8    MM  13.3   MM   MM    MM
2024 07 16 23 30 220  2.0  2.0    MM    MM    MM  MM 1016.9  15.8    MM  13.5   MM   MM    MM
2024 07 16 23 20 230  1.0  2.0   0.9    17   8.2 202 1017.0  16.4    MM  13.8   MM   MM    MM
2024 07 16 23 10 250  1.0  1.0   0.9    MM   8.2 202 1016.9  16.7    MM  14.2   MM   MM    MM
2024 07 16 23 00  MM  0.0  1.0    MM    MM    MM  MM 1017.0  16.5    MM  14.3   MM -0.5    MM
2024 07 16 22 50 240  2.0  2.0   0.9    17   8.4 198 1017.1  16.2    MM  14.2   MM   MM    MM
2024 07 16 22 40 230  1.0  2.0   0.9    MM   8.4 198 1017.1  16.3    MM  14.3   MM   MM    MM
2024 07 16 22 30 210  1.0  2.0    MM    MM    MM  MM 1017.1  16.3    MM  14.3   MM   MM    MM
2024 07 16 22 20 220  1.0  2.0   0.9     8   7.6 310 1017.2  16.2    MM  14.1   MM   MM    MM
2024 07 16 22 10 210  1.0  2.0   0.9    MM   7.6 310 1017.2  16.2    MM  14.0   MM   MM    MM
2024 07 16 22 00 220  1.0  2.0    MM    MM    MM  MM 1017.2  16.2    MM  14.1   MM +0.0    MM
2024 07 16 21 50 190  1.0  2.0   1.0    17   8.7 219 1017.3  16.2    MM  14.1   MM   MM    MM
2024 07 16 21 40 200  1.0  2.0    MM    MM    MM  MM 1017.3  16.0    MM  14.1   MM   MM    MM
2024 07 16 21 30 200  1.0  2.0    MM    MM    MM  MM 1017.4  15.9    MM  14.2   MM   MM    MM
2024 07 16 21 20 200  2.0  2.0   0.9    16   8.3 207 1017.5  15.9    MM  14.2   MM   MM    MM
