#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 07 21 18 00 310 12.0 15.0    MM    MM    MM  MM 1014.0  11.9    MM  11.9   MM +0.0    MM
2024 07 21 17 50 310 12.0 15.0   2.0     6   5.2 314 1013.9  11.9    MM  11.9   MM   MM    MM
2024 07 21 17 40 310 11.0 14.0    MM    MM    MM  MM 1014.0  11.9    MM  11.9   MM   MM    MM
2024 07 21 17 30 310 12.0 16.0    MM    MM    MM  MM 1013.9  12.0    MM  12.0   MM   MM    MM
2024 07 21 17 20 310 12.0 15.0   1.9     8   5.1 312 1013.8  11.9    MM  11.9   MM   MM    MM
2024 07 21 17 10 310 12.0 15.0   1.9    MM   5.1 312 1013.8  11.9    MM  11.9   MM   MM    MM
2024 07 21 17 00 310 12.0 14.0    MM    MM    MM  MM 1013.9  11.9    MM  11.9   MM +0.0    MM
2024 07 21 16 50 310 12.0 14.0   2.0     8   5.0 312 1014.0  11.9    MM  11.9   MM   MM    MM
2024 07 21 16 40 310 12.0 15.0   2.0    MM   5.0 312 1014.0  11.9    MM  11.9   MM   MM    MM
2024 07 21 16 30 310 12.0 15.0    MM    MM    MM  MM 1014.1  11.9    MM  11.9   MM   MM    MM
2024 07 21 16 20 310 12.0 15.0   2.1     8   5.1 302 1014.1  12.0    MM  12.0   MM   MM    MM
2024 07 21 16 10 310 12.0 15.0   2.1    MM   5.1 302 1014.1  12.0    MM  12.0   MM   MM    MM
2024 07 21 16 00 310 12.0 14.0    MM    MM    MM  MM 1014.1  12.0    MM  12.0   MM +0.6    MM
2024 07 21 15 50 310 12.0 16.0   2.1     6   5.1 313 1014.1  12.0    MM  12.0   MM   MM    MM
2024 07 21 15 40 310 12.0 15.0    MM    MM    MM  MM 1014.1  12.0    MM  12.0   MM   MM    MM
2024 07 21 15 30 310 12.0 15.0    MM    MM    MM  MM 1014.0  12.0    MM  12.0   MM   MM    MM
2024 07 21 15 20 310 13.0 16.0   2.2     6   5.2 314 1013.9  12.0    MM  12.0   MM   MM    MM
2024 07 21 15 10 310 13.0 16.0    MM    MM    MM  MM 1013.9  12.0    MM  12.0   MM   MM    MM
2024 07 21 15 00 310 13.0 16.0    MM    MM    MM  MM 1014.1  12.0    MM  12.0   MM +0.7    MM
2024 07 21 14 50 310 14.0 18.0   2.4     7   5.3 309 1013.9  12.0    MM  12.0   MM   MM    MM
2024 07 21 14 40 310 14.0 17.0    MM    MM    MM  MM 1013.8  12.0    MM  12.0   MM   MM    MM
2024 07 21 14 30 310 13.0 18.0    MM    MM    MM  MM 1013.8  12.0    MM  12.0   MM   MM    MM
2024 07 21 14 20 310 13.0 18.0   2.2     7   5.2 317 1013.7  12.0    MM  12.0   MM   MM    MM
2024 07 21 14 10 310 12.0 16.0   2.2    MM   5.2 317 1013.7  12.0    MM  12.0   MM   MM    MM
2024 07 21 14 00 310 13.0 16.0    MM    MM    MM  MM 1013.8  11.9    MM  11.9   MM +0.4    MM
2024 07 21 13 50 310 13.0 16.0   2.4     8   5.4 308 1013.7  11.9    MM  11.9   MM   MM    MM
2024 07 21 13 40 310 13.0 16.0   2.4    MM   5.4 308 1013.7  11.9    MM  11.9   MM   MM    MM
2024 07 21 13 30 310 12.0 15.0    MM    MM    MM  MM 1013.6  11.9    MM  11.9   MM   MM    MM
2024 07 21 13 20 320 12.0 16.0   2.4     7   5.4 308 1013.6  11.9    MM  11.9   MM   MM    MM
2024 07 21 13 10 310 13.0 15.0   2.4    MM   5.4 308 1013.6  11.9    MM  11.9   MM   MM    MM
2024 07 21 13 00 310 12.0 16.0    MM    MM    MM  MM 1013.6  11.8    MM  11.8   MM -0.0    MM
2024 07 21 12 50 310 12.0 15.0   2.4     7   5.5 306 1013.6  11.8    MM  11.8   MM   MM    MM
2024 07 21 12 40 310 13.0 17.0    MM    MM    MM  MM 1013.4  11.8    MM  11.8   MM   MM    MM
2024 07 21 12 30 310 13.0 17.0    MM    MM    MM  MM 1013.2  11.9    MM  11.9   MM   MM    MM
2024 07 21 12 20 310 13.0 18.0   2.4     7   5.5 306 1013.1  11.9    MM  11.9   MM   MM    MM
2024 07 21 12 10 310 13.0 18.0   2.4    MM   5.5 306 1013.1  11.9    MM  11.9   MM   MM    MM
2024 07 21 12 00 310 12.0 15.0    MM    MM    MM  MM 1013.3  11.8    MM  11.8   MM +0.0    MM
2024 07 21 11 50 310 13.0 17.0   2.3     6   5.3 304 1013.4  11.8    MM  11.8   MM   MM    MM
2024 07 21 11 40 310 13.0 16.0    MM    MM    MM  MM 1013.3  11.7    MM  11.7   MM   MM    MM
2024 07 21 11 30 310 13.0 16.0    MM    MM    MM  MM 1013.4  11.6    MM  11.6   MM   MM    MM
2024 07 21 11 20 310 13.0 16.0   2.2     8   5.4 299 1013.2  11.7    MM  11.7   MM   MM    MM
2024 07 21 11 10 310 13.0 16.0   2.2    MM   5.4 299 1013.2  11.7    MM  11.7   MM   MM    MM
2024 07 21 11 00 310 12.0 15.0    MM    MM    MM  MM 1013.3  11.7    MM  11.7   MM +0.0    MM
2024 07 21 10 50 310 12.0 16.0   2.3     7   5.5 318 1013.3  11.8    MM  11.8   MM   MM    MM
2024 07 21 10 40 310 12.0 15.0   2.3    MM   5.5 318 1013.4  11.8    MM  11.8   MM   MM    MM
2024 07 21 10 30 310 12.0 15.0    MM    MM    MM  MM 1013.5  11.8    MM  11.8   MM   MM    MM
2024 07 21 10 20 310 12.0 16.0   2.4     8   5.5 303 1013.5  11.8    MM  11.8   MM   MM    MM
2024 07 21 10 10 310 12.0 15.0    MM    MM    MM  MM 1013.5  11.8    MM  11.8   MM   MM    MM
2024 07 21 10 00 310 12.0 16.0    MM    MM    MM  MM 1013.5  11.8    MM  11.8   MM -0.4    MM
2024 07 21 09 50 310 12.0 16.0   2.3     6   5.5 306 1013.4  11.8    MM  11.8   MM   MM    MM
2024 07 21 09 40 310 13.0 16.0    MM    MM    MM  MM 1013.4  11.8    MM  11.8   MM   MM    MM
2024 07 21 09 30 310 12.0 15.0    MM    MM    MM  MM 1013.3  11.9    MM  11.9   MM   MM    MM
2024 07 21 09 20 310 12.0 15.0   2.3     8   5.6 310 1013.4  11.9    MM  11.9   MM   MM    MM
2024 07 21 09 10 310 13.0 16.0   2.3    MM   5.6 310 1013.5  12.0    MM  12.0   MM   MM    MM
2024 07 21 09 00 310 12.0 15.0    MM    MM    MM  MM 1013.4  12.0    MM  12.0   MM -0.5    MM
2024 07 21 08 50 310 12.0 15.0   2.4     6   5.6 315 1013.5  12.0    MM  12.0   MM   MM    MM
2024 07 21 08 40 310 12.0 15.0    MM    MM    MM  MM 1013.5  12.0    MM  12.0   MM   MM    MM
2024 07 21 08 30 310 12.0 16.0    MM    MM    MM  MM 1013.4  12.0    MM  12.0   MM   MM    MM
2024 07 21 08 20 310 12.0 16.0   2.4     6   5.5 317 1013.4  12.0    MM  12.0   MM   MM    MM
2024 07 21 08 10 310 12.0 16.0   2.4    MM   5.5 317 1013.5  12.1    MM  12.1   MM   MM    MM
2024 07 21 08 00 310 13.0 16.0    MM    MM    MM  MM 1013.6  12.1    MM  12.1   MM -0.3    MM
2024 07 21 07 50 310 12.0 16.0   2.4     7   5.5 312 1013.6  12.2    MM  12.2   MM   MM    MM
2024 07 21 07 40 310 12.0 15.0    MM    MM    MM  MM 1013.6  12.2    MM  12.2   MM   MM    MM
2024 07 21 07 30 310 13.0 16.0    MM    MM    MM  MM 1013.7  12.2    MM  12.2   MM   MM    MM
2024 07 21 07 20 310 13.0 16.0   2.5     8   5.7 304 1013.7  12.2    MM  12.2   MM   MM    MM
2024 07 21 07 10 310 13.0 17.0   2.5    MM   5.7 304 1013.9  12.2    MM  12.2   MM   MM    MM
2024 07 21 07 00 310 12.0 16.0    MM    MM    MM  MM 1014.0  12.2    MM  12.2   MM +0.0    MM
2024 07 21 06 50 310 13.0 16.0   2.6     7   5.8 312 1014.0  12.3    MM  12.3   MM   MM    MM
2024 07 21 06 40 310 13.0 16.0   2.6    MM   5.8 312 1014.1  12.3    MM  12.3   MM   MM    MM
2024 07 21 06 30 310 13.0 17.0    MM    MM    MM  MM 1014.0  12.4    MM  12.4   MM   MM    MM
2024 07 21 06 20 310 14.0 17.0   2.4     7   5.6 317 1013.9  12.3    MM  12.3   MM   MM    MM
2024 07 21 06 10 310 14.0 19.0    MM    MM    MM  MM 1013.9  12.3    MM  12.3   MM   MM    MM
2024 07 21 06 00 300 14.0 18.0    MM    MM    MM  MM 1013.9  12.3    MM  12.3   MM +0.4    MM
2024 07 21 05 50 310 14.0 18.0   2.8     8   5.8 308 1013.9  12.3    MM  12.3   MM   MM    MM
2024 07 21 05 40 310 14.0 17.0    MM    MM    MM  MM 1014.0  12.3    MM  12.3   MM   MM    MM
2024 07 21 05 30 310 14.0 18.0    MM    MM    MM  MM 1014.0  12.4    MM  12.4   MM   MM    MM
2024 07 21 05 20 310 14.0 17.0   2.7     7   5.8 308 1013.9  12.4    MM  12.4   MM   MM    MM
2024 07 21 05 10 310 14.0 18.0   2.7    MM   5.8 308 1013.9  12.4    MM  12.4   MM   MM    MM
2024 07 21 05 00 310 14.0 18.0    MM    MM    MM  MM 1014.0  12.4    MM  12.4   MM +1.0    MM
2024 07 21 04 50 310 14.0 18.0   2.7     8   5.8 314 1013.9  12.5    MM  12.5   MM   MM    MM
2024 07 21 04 40 310 14.0 18.0   2.7    MM   5.8 314 1014.0  12.5    MM  12.5   MM   MM    MM
2024 07 21 04 30 310 14.0 18.0    MM    MM    MM  MM 1014.0  12.5    MM  12.5   MM   MM    MM
2024 07 21 04 20 320 14.0 18.0   2.8     7   5.8 312 1013.9  12.4    MM  12.4   MM   MM    MM
2024 07 21 04 10 310 14.0 18.0    MM    MM    MM  MM 1013.9  12.4    MM  12.4   MM   MM    MM
2024 07 21 04 00 310 15.0 19.0    MM    MM    MM  MM 1013.8  12.4    MM  12.4   MM +0.6    MM
2024 07 21 03 50 310 15.0 19.0   2.8     6   5.7 311 1013.8  12.4    MM  12.4   MM   MM    MM
2024 07 21 03 40 310 14.0 18.0    MM    MM    MM  MM 1013.7  12.4    MM  12.4   MM   MM    MM
2024 07 21 03 30 310 14.0 18.0    MM    MM    MM  MM 1013.6  12.4    MM  12.4   MM   MM    MM
2024 07 21 03 20 310 14.0 18.0   2.6     8   5.6 311 1013.4  12.5    MM  12.5   MM   MM    MM
2024 07 21 03 10 310 14.0 18.0   2.6    MM   5.6 311 1013.4  12.6    MM  12.6   MM   MM    MM
2024 07 21 03 00 310 14.0 18.0    MM    MM    MM  MM 1013.5  12.5    MM  12.5   MM -0.0    MM
2024 07 21 02 50 310 14.0 18.0   2.5     8   5.6 310 1013.4  12.5    MM  12.5   MM   MM    MM
2024 07 21 02 40 310 14.0 18.0    MM    MM    MM  MM 1013.3  12.5    MM  12.4   MM   MM    MM
2024 07 21 02 30 310 14.0 17.0    MM    MM    MM  MM 1013.2  12.5    MM  12.4   MM   MM    MM
2024 07 21 02 20 310 14.0 18.0   2.5     8   5.5 319 1013.1  12.5    MM  12.4   MM   MM    MM
2024 07 21 02 10 310 15.0 19.0    MM    MM    MM  MM 1012.9  12.6    MM  12.5   MM   MM    MM
2024 07 21 02 00 310 15.0 18.0    MM    MM    MM  MM 1012.8  12.6    MM  12.5   MM -0.9    MM
2024 07 21 01 50 310 15.0 18.0   2.6     8   5.8 305 1012.8  12.6    MM  12.5   MM   MM    MM
2024 07 21 01 40 310 14.0 18.0   2.6    MM   5.8 305 1012.8  12.5    MM  12.4   MM   MM    MM
2024 07 21 01 30 310 14.0 18.0    MM    MM    MM  MM 1012.9  12.5    MM  12.4   MM   MM    MM
2024 07 21 01 20 310 14.0 18.0   2.6     6   5.6 320 1012.9  12.5    MM  12.4   MM   MM    MM
2024 07 21 01 10 310 14.0 18.0   2.6    MM   5.6 320 1013.0  12.5    MM  12.5   MM   MM    MM
2024 07 21 01 00 310 14.0 17.0    MM    MM    MM  MM 1013.1  12.5    MM  12.5   MM -0.5    MM
2024 07 21 00 50 310 14.0 17.0   2.6     8   5.7 308 1013.1  12.5    MM  12.5   MM   MM    MM
2024 07 21 00 40 310 14.0 18.0    MM    MM    MM  MM 1013.2  12.5    MM  12.5   MM   MM    MM
2024 07 21 00 30 310 14.0 18.0    MM    MM    MM  MM 1013.3  12.5    MM  12.5   MM   MM    MM
2024 07 21 00 20 310 14.0 17.0   2.6     7   5.6 314 1013.4  12.5    MM  12.5   MM   MM    MM
2024 07 21 00 10 310 14.0 18.0   2.6    MM   5.6 314 1013.4  12.6    MM  12.6   MM   MM    MM
2024 07 21 00 00 310 15.0 18.0    MM    MM    MM  MM 1013.5  12.6    MM  12.5   MM -0.4    MM
2024 07 20 23 50 310 15.0 19.0   2.7     8   5.6 314 1013.4  12.6    MM  12.5   MM   MM    MM
2024 07 20 23 40 310 15.0 19.0    MM    MM    MM  MM 1013.4  12.6    MM  12.5   MM   MM    MM
2024 07 20 23 30 310 15.0 19.0    MM    MM    MM  MM 1013.3  12.6    MM  12.5   MM   MM    MM
2024 07 20 23 20 310 15.0 19.0   2.8     8   5.7 313 1013.3  12.6    MM  12.5   MM   MM    MM
2024 07 20 23 10 310 15.0 19.0    MM    MM    MM  MM 1013.5  12.6    MM  12.5   MM   MM    MM
2024 07 20 23 00 310 15.0 19.0    MM    MM    MM  MM 1013.6  12.6    MM  12.5   MM -0.6    MM
2024 07 20 22 50 310 15.0 20.0   2.6     8   5.5 315 1013.6  12.6    MM  12.5   MM   MM    MM
2024 07 20 22 40 300 16.0 20.0   2.6    MM   5.5 315 1013.5  12.6    MM  12.5   MM   MM    MM
2024 07 20 22 30 300 16.0 20.0    MM    MM    MM  MM 1013.5  12.6    MM  12.5   MM   MM    MM
2024 07 20 22 20 310 16.0 20.0   2.8     8   5.8 313 1013.5  12.6    MM  12.6   MM   MM    MM
2024 07 20 22 10 310 15.0 19.0   2.8    MM   5.8 313 1013.6  12.6    MM  12.6   MM   MM    MM
2024 07 20 22 00 310 15.0 19.0    MM    MM    MM  MM 1013.6  12.5    MM  12.5   MM -0.7    MM
2024 07 20 21 50 310 15.0 20.0   2.5     8   5.7 317 1013.7  12.5    MM  12.5   MM   MM    MM
2024 07 20 21 40 310 15.0 19.0    MM    MM    MM  MM 1013.8  12.5    MM  12.5   MM   MM    MM
2024 07 20 21 30 310 15.0 19.0    MM    MM    MM  MM 1013.7  12.5    MM  12.5   MM   MM    MM
2024 07 20 21 20 310 15.0 19.0   2.7     8   5.6 314 1013.7  12.5    MM  12.5   MM   MM    MM
2024 07 20 21 10 310 15.0 19.0   2.7    MM   5.6 314 1013.8  12.5    MM  12.5   MM   MM    MM
2024 07 20 21 00 310 15.0 19.0    MM    MM    MM  MM 1013.9  12.4    MM  12.4   MM -0.4    MM
2024 07 20 20 50 310 15.0 19.0   2.6     8   5.7 318 1013.8  12.4    MM  12.4   MM   MM    MM
2024 07 20 20 40 310 14.0 17.0    MM    MM    MM  MM 1014.0  12.4    MM  12.3   MM   MM    MM
2024 07 20 20 30 310 13.0 17.0    MM    MM    MM  MM 1014.1  12.4    MM  12.3   MM   MM    MM
2024 07 20 20 20 310 13.0 19.0   2.6     7   5.8 317 1014.2  12.4    MM  12.3   MM   MM    MM
2024 07 20 20 10 310 14.0 19.0    MM    MM    MM  MM 1014.2  12.4    MM  12.3   MM   MM    MM
2024 07 20 20 00 310 13.0 17.0    MM    MM    MM  MM 1014.2  12.4    MM  12.3   MM +0.0    MM
2024 07 20 19 50 310 14.0 16.0   2.7     8   5.8 318 1014.4  12.4    MM  12.3   MM   MM    MM
2024 07 20 19 40 310 13.0 17.0    MM    MM    MM  MM 1014.4  12.3    MM  12.3   MM   MM    MM
2024 07 20 19 30 310 13.0 17.0    MM    MM    MM  MM 1014.4  12.3    MM  12.3   MM   MM    MM
2024 07 20 19 20 310 14.0 18.0   2.7     7   5.8 310 1014.4  12.3    MM  12.3   MM   MM    MM
2024 07 20 19 10 310 14.0 18.0   2.7    MM   5.8 310 1014.4  12.3    MM  12.3   MM   MM    MM
2024 07 20 19 00 310 14.0 17.0    MM    MM    MM  MM 1014.2  12.3    MM  12.3   MM +0.0    MM
2024 07 20 18 50 310 13.0 17.0   2.7     8   5.7 318 1014.2  12.3    MM  12.3   MM   MM    MM
2024 07 20 18 40 320 13.0 15.0   2.7    MM   5.7 318 1014.4  12.3    MM  12.2   MM   MM    MM
2024 07 20 18 30 320 12.0 16.0    MM    MM    MM  MM 1014.4  12.3    MM  12.2   MM   MM    MM
2024 07 20 18 20 320 13.0 17.0   2.6     8   5.9 316 1014.4  12.3    MM  12.2   MM   MM    MM
2024 07 20 18 10 320 12.0 16.0   2.6    MM   5.9 316 1014.3  12.3    MM  12.2   MM   MM    MM
2024 07 20 18 00 320 12.0 15.0    MM    MM    MM  MM 1014.3  12.2    MM  12.1   MM +0.7    MM
2024 07 20 17 50 320 12.0 15.0   2.5     8   5.8 313 1014.3  12.2    MM  12.1   MM   MM    MM
2024 07 20 17 40 320 13.0 17.0    MM    MM    MM  MM 1014.2  12.2    MM  12.1   MM   MM    MM
2024 07 20 17 30 320 12.0 15.0    MM    MM    MM  MM 1014.1  12.2    MM  12.1   MM   MM    MM
2024 07 20 17 20 320 12.0 15.0   2.4     8   5.7 312 1014.2  12.2    MM  12.1   MM   MM    MM
2024 07 20 17 10 320 12.0 15.0   2.4    MM   5.7 312 1014.2  12.2    MM  12.1   MM   MM    MM
2024 07 20 17 00 320 12.0 15.0    MM    MM    MM  MM 1014.2  12.2    MM  12.1   MM +1.7    MM
2024 07 20 16 50 320 12.0 15.0   2.5     8   5.8 307 1014.1  12.2    MM  12.1   MM   MM    MM
2024 07 20 16 40 320 12.0 15.0   2.5    MM   5.8 307 1014.1  12.2    MM  12.1   MM   MM    MM
