#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 04 01 08 20 330  4.0  6.3 99.00 99.00 99.00 999 1011.0  12.1 999.0  11.1 99.0 99.00 
2024 04 01 08 30 333  4.1  6.2 99.00 99.00 99.00 999 1011.1  12.1 999.0  11.1 99.0 99.00 
2024 04 01 08 40 327  4.4  6.6  3.23 10.00  7.92 308 1011.1  12.1 999.0  11.1 99.0 99.00 
2024 04 01 08 50 326  4.7  6.8 99.00 99.00 99.00 999 1011.2  12.0 999.0  11.0 99.0 99.00 
2024 04 01 09 00 328  5.4  7.7 99.00 99.00 99.00 999 1011.3  12.0 999.0  11.0 99.0 99.00 
2024 04 01 09 10 323  5.3  6.9  3.39 10.81  7.96 297 1011.4  12.1 999.0  11.1 99.0 99.00 
2024 04 01 09 20 329  4.6  6.4 99.00 99.00 99.00 999 1011.3  12.1 999.0  11.1 99.0 99.00 
2024 04 01 09 30 324  4.2  6.2 99.00 99.00 99.00 999 1011.4  12.1 999.0  11.1 99.0 99.00 
2024 04 01 09 40 315  4.6  6.5  2.95 10.81  7.82 302 1011.5  12.1 999.0  11.1 99.0 99.00 
2024 04 01 09 50 317  5.4  7.2 99.00 99.00 99.00 999 1011.6  12.0 999.0  11.0 99.0 99.00 
2024 04 01 10 00 317  5.6  7.1 99.00 99.00 99.00 999 1011.6  12.1 999.0  11.1 99.0 99.00 
2024 04 01 10 10 319  5.7  7.5  2.86 10.81  7.67 298 1011.6  12.1 999.0  11.0 99.0 99.00 
2024 04 01 10 20 323  5.6  7.4 99.00 99.00 99.00 999 1011.6  12.1 999.0  11.0 99.0 99.00 
2024 04 01 10 30 323  5.5  7.7 99.00 99.00 99.00 999 1011.8  12.2 999.0  11.1 99.0 99.00 
2024 04 01 10 40 307  5.1  6.9  3.02 10.00  7.73 308 1012.0  12.2 999.0  11.1 99.0 99.00 
2024 04 01 10 50 297  4.8  6.8 99.00 99.00 99.00 999 1012.0  12.2 999.0  11.2 99.0 99.00 
2024 04 01 11 00 312  5.9  7.6 99.00 99.00 99.00 999 1012.0  12.1 999.0  11.1 99.0 99.00 
2024 04 01 11 10 321  6.0  7.6  2.75 10.00  7.54 298 1012.0  12.1 999.0  11.1 99.0 99.00 
2024 04 01 11 20 329  5.2  6.9 99.00 99.00 99.00 999 1012.1  12.1 999.0  11.0 99.0 99.00 
2024 04 01 11 30 335  5.4  7.0 99.00 99.00 99.00 999 1012.3  12.2 999.0  10.9 99.0 99.00 
2024 04 01 11 40 339  5.6  7.6  2.85 10.00  7.45 305 1012.3  12.2 999.0  10.8 99.0 99.00 
2024 04 01 11 50 341  4.9  6.9 99.00 99.00 99.00 999 1012.5  12.3 999.0  10.8 99.0 99.00 
2024 04 01 12 00 337  4.5  5.9 99.00 99.00 99.00 999 1012.7  12.3 999.0  10.8 99.0 99.00 
2024 04 01 12 10 332  4.2  5.9  2.80 10.00  7.51 302 1012.8  12.3 999.0  11.0 99.0 99.00 
2024 04 01 12 20 330  4.5  6.3 99.00 99.00 99.00 999 1012.9  12.3 999.0  11.0 99.0 99.00 
2024 04 01 12 30 335  4.6  5.9 99.00 99.00 99.00 999 1013.0  12.3 999.0  10.9 99.0 99.00 
2024 04 01 12 40 341  4.7  6.1  2.85 10.00  7.63 308 1013.1  12.3 999.0  10.9 99.0 99.00 
2024 04 01 12 50 341  5.0  6.2 99.00 99.00 99.00 999 1013.1  12.3 999.0  10.9 99.0 99.00 
2024 04 01 13 00 350  5.4  6.8 99.00 99.00 99.00 999 1013.2  12.4 999.0  10.8 99.0 99.00 
2024 04 01 13 10 359  5.6  6.9  2.60 10.00  7.47 308 1013.4  12.5 999.0  10.7 99.0 99.00 
2024 04 01 13 20   1  5.3  6.8 99.00 99.00 99.00 999 1013.6  12.5 999.0  10.6 99.0 99.00 
2024 04 01 13 30 356  4.9  6.5 99.00 99.00 99.00 999 1013.7  12.6 999.0  10.8 99.0 99.00 
2024 04 01 13 40 357  4.7  6.0  2.62 10.00  7.42 306 1013.9  12.5 999.0  10.8 99.0 99.00 
2024 04 01 13 50 356  4.3  5.7 99.00 99.00 99.00 999 1014.1  12.6 999.0  10.7 99.0 99.00 
2024 04 01 14 00   1  4.2  5.6 99.00 99.00 99.00 999 1014.2  13.0 999.0   9.9 99.0 99.00 
2024 04 01 14 10 359  3.5  4.9  2.61 10.00  7.34 313 1014.3  13.4 999.0   9.8 99.0 99.00 
2024 04 01 14 20 355  2.8  4.2 99.00 99.00 99.00 999 1014.5  13.6 999.0   9.7 99.0 99.00 
2024 04 01 14 30 359  2.2  3.6 99.00 99.00 99.00 999 1014.6  13.8 999.0   9.9 99.0 99.00 
2024 04 01 14 40 318  2.2  4.4  2.55 10.00  7.34 308 1014.6  13.6 999.0  10.5 99.0 99.00 
2024 04 01 14 50 303  3.5  6.0 99.00 99.00 99.00 999 1014.8  13.3 999.0   9.8 99.0 99.00 
2024 04 01 15 00 306  3.4  5.1 99.00 99.00 99.00 999 1014.9  13.6 999.0   9.8 99.0 99.00 
2024 04 01 15 10 299  3.5  5.3  2.63 10.00  7.38 301 1015.1  13.7 999.0   9.7 99.0 99.00 
2024 04 01 15 20 291  3.6  6.5 99.00 99.00 99.00 999 1015.2  13.7 999.0   9.9 99.0 99.00 
2024 04 01 15 30 277  5.2  7.4 99.00 99.00 99.00 999 1015.4  13.2 999.0  10.6 99.0 99.00 
2024 04 01 15 40 281  4.0  6.4  2.44  9.09  7.19 301 1015.6  13.1 999.0  10.2 99.0 99.00 
2024 04 01 15 50 318  3.4  5.7 99.00 99.00 99.00 999 1015.7  14.1 999.0   8.2 99.0 99.00 
2024 04 01 16 00 317  4.7  6.0 99.00 99.00 99.00 999 1015.7  14.0 999.0   9.4 99.0 99.00 
2024 04 01 16 10 323  4.8  6.3  2.40 10.00  7.21 300 1015.9  13.2 999.0  10.5 99.0 99.00 
2024 04 01 16 20 325  4.2  6.3 99.00 99.00 99.00 999 1015.9  12.9 999.0  10.5 99.0 99.00 
2024 04 01 16 30 320  3.3  5.6 99.00 99.00 99.00 999 1016.2  13.0 999.0  10.6 99.0 99.00 
2024 04 01 16 40 307  1.4  2.8  2.62 10.00  7.71 310 1016.3  13.2 999.0  10.9 99.0 99.00 
2024 04 01 16 50 312  3.4  5.4 99.00 99.00 99.00 999 1016.4  12.9 999.0  10.8 99.0 99.00 
2024 04 01 17 00 306  3.3  4.8 99.00 99.00 99.00 999 1016.7  12.8 999.0  10.7 99.0 99.00 
2024 04 01 17 10 304  2.1  4.0  2.44 10.00  7.45 309 1016.9  12.8 999.0  10.6 99.0 99.00 
2024 04 01 17 20 182  1.0  2.9 99.00 99.00 99.00 999 1017.1  13.1 999.0  10.8 99.0 99.00 
2024 04 01 17 30 309  2.8  6.6 99.00 99.00 99.00 999 1017.0  13.1 999.0  10.1 99.0 99.00 
2024 04 01 17 40 312  4.4  5.9  2.30  9.09  7.27 310 1017.1  13.3 999.0   9.8 99.0 99.00 
2024 04 01 17 50 307  4.3  5.8 99.00 99.00 99.00 999 1017.1  13.3 999.0  10.1 99.0 99.00 
2024 04 01 18 00 305  3.6  5.4 99.00 99.00 99.00 999 1017.4  13.3 999.0  10.1 99.0 99.00 
2024 04 01 18 10 319  2.6  4.1  2.40  9.09  7.54 311 1017.7  13.5 999.0   9.8 99.0 99.00 
2024 04 01 18 20 322  1.8  3.6 99.00 99.00 99.00 999 1017.9  13.8 999.0   9.9 99.0 99.00 
2024 04 01 18 30 344  0.7  1.8 99.00 99.00 99.00 999 1017.9  13.9 999.0  10.1 99.0 99.00 
2024 04 01 18 40 304  0.8  2.5  2.16 10.00  7.30 308 1018.1  14.0 999.0  10.3 99.0 99.00 
2024 04 01 18 50 314  1.1  2.8 99.00 99.00 99.00 999 1018.3  13.9 999.0  10.1 99.0 99.00 
2024 04 01 19 00 299  0.9  2.3 99.00 99.00 99.00 999 1018.2  14.0 999.0  10.3 99.0 99.00 
2024 04 01 19 10 318  1.8  4.1  2.21  9.09  7.41 307 1018.3  13.7 999.0  10.5 99.0 99.00 
2024 04 01 19 20 294  1.1  2.5 99.00 99.00 99.00 999 1018.4  13.7 999.0  10.9 99.0 99.00 
2024 04 01 19 30 286  1.1  2.3 99.00 99.00 99.00 999 1018.4  13.6 999.0  10.8 99.0 99.00 
2024 04 01 19 40 304  2.2  4.0  2.44 10.00  7.47 306 1018.3  13.4 999.0  10.7 99.0 99.00 
2024 04 01 19 50 305  2.9  4.5 99.00 99.00 99.00 999 1018.3  13.3 999.0  10.8 99.0 99.00 
2024 04 01 20 00 307  2.4  3.7 99.00 99.00 99.00 999 1018.4  13.2 999.0  11.0 99.0 99.00 
2024 04 01 20 10 301  1.2  2.9  2.23  9.09  7.31 307 1018.5  13.3 999.0  11.3 99.0 99.00 
2024 04 01 20 20 204  0.8  1.6 99.00 99.00 99.00 999 1018.5  13.5 999.0  11.4 99.0 99.00 
2024 04 01 20 30 276  1.9  3.8 99.00 99.00 99.00 999 1018.6  13.4 999.0  11.4 99.0 99.00 
2024 04 01 20 40 256  2.1  3.2  2.10 10.00  7.43 308 1018.7  13.3 999.0  11.5 99.0 99.00 
2024 04 01 20 50 272  2.0  3.3 99.00 99.00 99.00 999 1018.6  13.4 999.0  11.7 99.0 99.00 
2024 04 01 21 00 276  2.1  3.1 99.00 99.00 99.00 999 1018.7  13.4 999.0  11.8 99.0 99.00 
2024 04 01 21 10 238  1.7  2.7  1.83 10.00  7.24 304 1018.8  13.4 999.0  11.9 99.0 99.00 
2024 04 01 21 20 256  2.0  3.1 99.00 99.00 99.00 999 1018.8  13.4 999.0  12.0 99.0 99.00 
2024 04 01 21 30 250  2.1  3.0 99.00 99.00 99.00 999 1018.9  13.4 999.0  12.1 99.0 99.00 
2024 04 01 21 40 246  2.0  2.8  1.85 10.00  7.36 299 1018.9  13.4 999.0  12.1 99.0 99.00 
2024 04 01 21 50 242  2.1  3.3 99.00 99.00 99.00 999 1018.9  13.4 999.0  12.1 99.0 99.00 
2024 04 01 22 00 246  2.5  3.7 99.00 99.00 99.00 999 1018.8  13.4 999.0  12.1 99.0 99.00 
2024 04 01 22 10 243  3.0  3.9  1.81 10.00  7.33 310 1018.8  13.4 999.0  12.1 99.0 99.00 
2024 04 01 22 20 246  2.5  3.4 99.00 99.00 99.00 999 1018.9  13.4 999.0  12.2 99.0 99.00 
2024 04 01 22 30 242  2.6  3.4 99.00 99.00 99.00 999 1018.9  13.4 999.0  12.3 99.0 99.00 
2024 04 01 22 40 239  2.8  3.8  1.71  9.09  7.17 306 1018.8  13.4 999.0  12.3 99.0 99.00 
2024 04 01 22 50 245  2.8  3.9 99.00 99.00 99.00 999 1018.8  13.4 999.0  12.3 99.0 99.00 
2024 04 01 23 00 245  3.1  4.0 99.00 99.00 99.00 999 1018.8  13.4 999.0  12.3 99.0 99.00 
2024 04 01 23 10 242  3.2  4.1  1.64  9.09  7.05 304 1018.7  13.5 999.0  12.4 99.0 99.00 
2024 04 01 23 20 248  3.6  4.6 99.00 99.00 99.00 999 1018.7  13.4 999.0  12.3 99.0 99.00 
2024 04 01 23 30 259  3.5  4.5 99.00 99.00 99.00 999 1018.9  13.4 999.0  12.3 99.0 99.00 
2024 04 01 23 40 253  3.6  4.5  1.80  8.33  7.29 309 1018.9  13.4 999.0  12.3 99.0 99.00 
2024 04 01 23 50 261  3.6  4.7 99.00 99.00 99.00 999 1018.9  13.4 999.0  12.3 99.0 99.00 
2024 04 02 00 00 256  3.3  4.5 99.00 99.00 99.00 999 1018.9  13.5 999.0  12.4 99.0 99.00 
2024 04 02 00 10 266  3.6  4.7  1.73  9.09  7.21 317 1018.7  13.5 999.0  12.4 99.0 99.00 
2024 04 02 00 20 263  3.4  4.6 99.00 99.00 99.00 999 1018.6  13.4 999.0  12.3 99.0 99.00 
2024 04 02 00 30 263  3.2  4.3 99.00 99.00 99.00 999 1018.7  13.5 999.0  12.3 99.0 99.00 
