#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 03 01 08 20 221  8.0  9.7 99.00 99.00 99.00 999 1014.3  12.2 999.0   9.5 99.0 99.00 
2024 03 01 08 30 222  7.2  9.8 99.00 99.00 99.00 999 1014.4  12.2 999.0   9.7 99.0 99.00 
2024 03 01 08 40 227  7.9 12.2  3.99 10.81  8.35 295 1014.5  11.2 999.0   9.2 99.0 99.00 
2024 03 01 08 50 220  7.6 10.0 99.00 99.00 99.00 999 1014.4  10.9 999.0   9.6 99.0 99.00 
2024 03 01 09 00 212  7.0  8.6 99.00 99.00 99.00 999 1014.4  11.2 999.0  10.0 99.0 99.00 
2024 03 01 09 10 209  6.9  8.9  3.67 12.90  8.25 301 1014.4  11.3 999.0  10.2 99.0 99.00 
2024 03 01 09 20 221  7.1  8.9 99.00 99.00 99.00 999 1014.5  11.5 999.0   9.5 99.0 99.00 
2024 03 01 09 30 210  7.8 10.1 99.00 99.00 99.00 999 1014.4  11.6 999.0   9.6 99.0 99.00 
2024 03 01 09 40 206  7.0  8.4  4.03 13.79  8.45 309 1014.3  11.5 999.0  10.0 99.0 99.00 
2024 03 01 09 50 206  6.6  9.1 99.00 99.00 99.00 999 1014.2  11.4 999.0  10.1 99.0 99.00 
2024 03 01 10 00 226  7.2  8.9 99.00 99.00 99.00 999 1014.1  11.6 999.0   9.4 99.0 99.00 
2024 03 01 10 10 238  7.3  9.2  4.08 12.12  8.52 304 1014.1  11.9 999.0   8.8 99.0 99.00 
2024 03 01 10 20 236  7.3  9.8 99.00 99.00 99.00 999 1013.8  12.0 999.0   9.1 99.0 99.00 
2024 03 01 10 30 241  6.8  8.7 99.00 99.00 99.00 999 1013.7  12.1 999.0   9.2 99.0 99.00 
2024 03 01 10 40 228  6.9  8.9  3.89 12.12  8.49 306 1013.6  12.2 999.0   9.3 99.0 99.00 
2024 03 01 10 50 225  8.9 13.6 99.00 99.00 99.00 999 1013.6  11.5 999.0   9.5 99.0 99.00 
2024 03 01 11 00 213  7.5  9.4 99.00 99.00 99.00 999 1013.4  11.5 999.0   9.6 99.0 99.00 
2024 03 01 11 10 214  7.8 10.2  4.21 12.12  8.60 307 1013.3  11.7 999.0   9.7 99.0 99.00 
2024 03 01 11 20 222  7.7  9.6 99.00 99.00 99.00 999 1013.1  11.6 999.0   8.7 99.0 99.00 
2024 03 01 11 30 217  7.1  8.6 99.00 99.00 99.00 999 1013.1  11.7 999.0   9.0 99.0 99.00 
2024 03 01 11 40 216  7.3  8.6  4.05 13.79  8.58 296 1013.1  11.8 999.0   9.1 99.0 99.00 
2024 03 01 11 50 213  6.9  9.1 99.00 99.00 99.00 999 1012.9  11.8 999.0   8.9 99.0 99.00 
2024 03 01 12 00 212  6.7  8.6 99.00 99.00 99.00 999 1012.8  11.9 999.0   9.4 99.0 99.00 
2024 03 01 12 10 213  7.3  8.9  4.22 10.81  8.76 296 1012.9  11.9 999.0   9.2 99.0 99.00 
