,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9
2022-11-13 04:00:00+00:00,-0.19226075203600138,-0.18904671035285364,-0.19545601955713401,-0.18645094933267672,-0.18575656044154998,-0.19017477674261618,-0.18525010463133082,-0.18936742669954293,-0.1850433192147945,-0.19011715775244703
2022-11-13 05:00:00+00:00,-0.19229182123895946,-0.189275883672326,-0.1936426924692041,-0.1872182184421302,-0.186419530624191,-0.19036751861673162,-0.18614151228408266,-0.18888327349041836,-0.18550049541476288,-0.18985867897005065
2022-11-13 06:00:00+00:00,-0.19203806007144927,-0.18960755539658003,-0.1908381529029776,-0.18831714456826987,-0.18835669050334325,-0.190714842088053,-0.18859654535996292,-0.18767154381240758,-0.18685077463941407,-0.19011157482947943
2022-11-13 07:00:00+00:00,-0.19261696638871525,-0.19128195722750718,-0.19046317492215922,-0.18954115284918321,-0.1919812900092857,-0.1919827814169856,-0.19200730935040075,-0.1878051734524316,-0.19073228018222937,-0.1904040426615864
2022-11-13 08:00:00+00:00,-0.1885152301496307,-0.18370981834345837,-0.1835288598801695,-0.1868030107239557,-0.18462574296612783,-0.18759944294537367,-0.1842385284117532,-0.18055961420475272,-0.17939839537710028,-0.18951658486554032
2022-11-13 09:00:00+00:00,-0.18512241340811345,-0.17663195932347,-0.18046738731137366,-0.1827428403801359,-0.18182963747666803,-0.18719710226640696,-0.17478351385225988,-0.1709520871769486,-0.1714927500575324,-0.1886245133962625
2022-11-13 10:00:00+00:00,-0.184351365964221,-0.17433525951285134,-0.17919828859504547,-0.18169242543468847,-0.18150188198325248,-0.1864306060563335,-0.17447668565954988,-0.16910812335411876,-0.1720592673202616,-0.1885182457503816
2022-11-13 11:00:00+00:00,-0.1835382814970494,-0.173068175115113,-0.17994290209234284,-0.18147462589803273,-0.18337556570941377,-0.18509753434289739,-0.1747431412542164,-0.17089769504216767,-0.1726767206313477,-0.18836360828674636
2022-11-13 12:00:00+00:00,-0.18310202434380066,-0.17524767478009104,-0.18260357373623623,-0.1834034547434792,-0.1828808216556927,-0.18521743990656914,-0.17610507239225512,-0.17020077198543795,-0.17477142658521966,-0.1888108814610091
2022-11-13 13:00:00+00:00,-0.18414497644789804,-0.17764460005471028,-0.18345479424512598,-0.18524705816746073,-0.183303039333503,-0.18630332592012933,-0.17876226912547474,-0.16986597694706732,-0.17566130457887685,-0.18960800838674682
