,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-14 09:00:00+00:00,-0.17735961,-0.1836977,-0.1819646,-0.1716449,-0.17807874,-0.2155275,-0.18172142,-0.18200713,-0.17212829,-0.18506548,-0.18291956,0.012335966
2022-11-14 10:00:00+00:00,-0.17535773,-0.18337956,-0.18168688,-0.17085564,-0.17715135,-0.21480376,-0.18140906,-0.18102229,-0.1718061,-0.1842229,-0.18216954,0.012381833
2022-11-14 11:00:00+00:00,-0.17285174,-0.18333888,-0.1812945,-0.17003927,-0.17638439,-0.21473756,-0.18091843,-0.17992213,-0.17168197,-0.1833821,-0.1814551,0.012663215
2022-11-14 12:00:00+00:00,-0.17113408,-0.18346405,-0.18087223,-0.16942292,-0.17586207,-0.21544608,-0.18016946,-0.17900497,-0.17164296,-0.1828168,-0.18098357,0.013106004
2022-11-14 13:00:00+00:00,-0.16887632,-0.18350619,-0.18050864,-0.16900966,-0.17556661,-0.2164157,-0.17945805,-0.17834145,-0.17172137,-0.18289256,-0.18062964,0.013657789
2022-11-14 14:00:00+00:00,-0.16826412,-0.18330735,-0.18009147,-0.16871771,-0.17535809,-0.21728238,-0.17856604,-0.17817321,-0.17173466,-0.1833153,-0.18048103,0.014023305
2022-11-14 15:00:00+00:00,-0.16846597,-0.18287188,-0.17957342,-0.16849172,-0.1752252,-0.21722293,-0.1775378,-0.17811391,-0.17166784,-0.18383288,-0.18030035,0.0140439095
2022-11-14 16:00:00+00:00,-0.16905826,-0.18193054,-0.17889443,-0.16811958,-0.17507109,-0.21469784,-0.17660207,-0.17827159,-0.17148632,-0.18454999,-0.17986818,0.013339973
2022-11-14 17:00:00+00:00,-0.1712668,-0.1807963,-0.17832753,-0.16797158,-0.17494321,-0.21201709,-0.17599195,-0.17860165,-0.17142761,-0.18546939,-0.1796813,0.012451919
2022-11-14 18:00:00+00:00,-0.17457572,-0.17906854,-0.17721385,-0.16691074,-0.17439485,-0.20820412,-0.17455998,-0.17838445,-0.17093772,-0.1860438,-0.17902938,0.011439246
2022-11-14 19:00:00+00:00,-0.17645246,-0.17683098,-0.17519829,-0.16481107,-0.1735372,-0.20317432,-0.1727468,-0.17693874,-0.1694754,-0.18599382,-0.17751591,0.01055236
2022-11-14 20:00:00+00:00,-0.17575702,-0.17462343,-0.1733019,-0.16305667,-0.1726664,-0.19790354,-0.17214504,-0.17520532,-0.16823325,-0.18624341,-0.1759136,0.009708583
