STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
NAP,H,20,FLOW,20230303 1600,20230303 1600,595, ,CFS
NAP,H,20,FLOW,20230303 1700,20230303 1700,590, ,CFS
NAP,H,20,FLOW,20230303 1800,20230303 1800,588, ,CFS
NAP,H,20,FLOW,20230303 1900,20230303 1900,583, ,CFS
NAP,H,20,FLOW,20230303 2000,20230303 2000,573, ,CFS
NAP,H,20,FLOW,20230303 2100,20230303 2100,575, ,CFS
NAP,H,20,FLOW,20230303 2200,20230303 2200,570, ,CFS
NAP,H,20,FLOW,20230303 2300,20230303 2300,568, ,CFS
NAP,H,20,FLOW,20230304 0000,20230304 0000,556, ,CFS
NAP,H,20,FLOW,20230304 0100,20230304 0100,551, ,CFS
NAP,H,20,FLOW,20230304 0200,20230304 0200,543, ,CFS
NAP,H,20,FLOW,20230304 0300,20230304 0300,541, ,CFS
NAP,H,20,FLOW,20230304 0400,20230304 0400,536, ,CFS
NAP,H,20,FLOW,20230304 0500,20230304 0500,531, ,CFS
NAP,H,20,FLOW,20230304 0600,20230304 0600,527, ,CFS
NAP,H,20,FLOW,20230304 0700,20230304 0700,527, ,CFS
NAP,H,20,FLOW,20230304 0800,20230304 0800,522, ,CFS
NAP,H,20,FLOW,20230304 0900,20230304 0900,517, ,CFS
NAP,H,20,FLOW,20230304 1000,20230304 1000,512, ,CFS
NAP,H,20,FLOW,20230304 1100,20230304 1100,512, ,CFS
NAP,H,20,FLOW,20230304 1200,20230304 1200,512, ,CFS
NAP,H,20,FLOW,20230304 1300,20230304 1300,512, ,CFS
NAP,H,20,FLOW,20230304 1400,20230304 1400,517, ,CFS
NAP,H,20,FLOW,20230304 1500,20230304 1500,522, ,CFS
NAP,H,20,FLOW,20230304 1600,20230304 1600,529, ,CFS
NAP,H,20,FLOW,20230304 1700,20230304 1700,534, ,CFS
NAP,H,20,FLOW,20230304 1800,20230304 1800,539, ,CFS
NAP,H,20,FLOW,20230304 1900,20230304 1900,536, ,CFS
NAP,H,20,FLOW,20230304 2000,20230304 2000,539, ,CFS
NAP,H,20,FLOW,20230304 2100,20230304 2100,536, ,CFS
NAP,H,20,FLOW,20230304 2200,20230304 2200,536, ,CFS
NAP,H,20,FLOW,20230304 2300,20230304 2300,534, ,CFS
NAP,H,20,FLOW,20230305 0000,20230305 0000,529, ,CFS
NAP,H,20,FLOW,20230305 0100,20230305 0100,524, ,CFS
NAP,H,20,FLOW,20230305 0200,20230305 0200,527, ,CFS
NAP,H,20,FLOW,20230305 0300,20230305 0300,531, ,CFS
NAP,H,20,FLOW,20230305 0400,20230305 0400,541, ,CFS
NAP,H,20,FLOW,20230305 0500,20230305 0500,561, ,CFS
NAP,H,20,FLOW,20230305 0600,20230305 0600,593, ,CFS
NAP,H,20,FLOW,20230305 0700,20230305 0700,647, ,CFS
NAP,H,20,FLOW,20230305 0800,20230305 0800,694, ,CFS
NAP,H,20,FLOW,20230305 0900,20230305 0900,727, ,CFS
NAP,H,20,FLOW,20230305 1000,20230305 1000,763, ,CFS
NAP,H,20,FLOW,20230305 1100,20230305 1100,785, ,CFS
NAP,H,20,FLOW,20230305 1200,20230305 1200,785, ,CFS
NAP,H,20,FLOW,20230305 1300,20230305 1300,777, ,CFS
NAP,H,20,FLOW,20230305 1400,20230305 1400,766, ,CFS
NAP,H,20,FLOW,20230305 1500,20230305 1500,754, ,CFS
NAP,H,20,FLOW,20230305 1600,20230305 1600,743, ,CFS
NAP,H,20,FLOW,20230305 1700,20230305 1700,732, ,CFS
NAP,H,20,FLOW,20230305 1800,20230305 1800,729, ,CFS
NAP,H,20,FLOW,20230305 1900,20230305 1900,716, ,CFS
NAP,H,20,FLOW,20230305 2000,20230305 2000,702, ,CFS
NAP,H,20,FLOW,20230305 2100,20230305 2100,686, ,CFS
NAP,H,20,FLOW,20230305 2200,20230305 2200,675, ,CFS
NAP,H,20,FLOW,20230305 2300,20230305 2300,665, ,CFS
NAP,H,20,FLOW,20230306 0000,20230306 0000,654, ,CFS
NAP,H,20,FLOW,20230306 0100,20230306 0100,644, ,CFS
NAP,H,20,FLOW,20230306 0200,20230306 0200,639, ,CFS
NAP,H,20,FLOW,20230306 0300,20230306 0300,631, ,CFS
NAP,H,20,FLOW,20230306 0400,20230306 0400,631, ,CFS
NAP,H,20,FLOW,20230306 0500,20230306 0500,618, ,CFS
NAP,H,20,FLOW,20230306 0600,20230306 0600,610, ,CFS
NAP,H,20,FLOW,20230306 0700,20230306 0700,610, ,CFS
NAP,H,20,FLOW,20230306 0800,20230306 0800,605, ,CFS
NAP,H,20,FLOW,20230306 0900,20230306 0900,610, ,CFS
NAP,H,20,FLOW,20230306 1000,20230306 1000,616, ,CFS
NAP,H,20,FLOW,20230306 1100,20230306 1100,623, ,CFS
NAP,H,20,FLOW,20230306 1200,20230306 1200,641, ,CFS
NAP,H,20,FLOW,20230306 1300,20230306 1300,654, ,CFS
NAP,H,20,FLOW,20230306 1400,20230306 1400,660, ,CFS
NAP,H,20,FLOW,20230306 1500,20230306 1500,670, ,CFS
NAP,H,20,FLOW,20230306 1600,20230306 1600,686, ,CFS
NAP,H,20,FLOW,20230306 1700,20230306 1700,700, ,CFS
NAP,H,20,FLOW,20230306 1800,20230306 1800,708, ,CFS
NAP,H,20,FLOW,20230306 1900,20230306 1900,700, ,CFS
NAP,H,20,FLOW,20230306 2000,20230306 2000,697, ,CFS
NAP,H,20,FLOW,20230306 2100,20230306 2100,694, ,CFS
NAP,H,20,FLOW,20230306 2200,20230306 2200,705, ,CFS
NAP,H,20,FLOW,20230306 2300,20230306 2300,697, ,CFS
NAP,H,20,FLOW,20230307 0000,20230307 0000,691, ,CFS
NAP,H,20,FLOW,20230307 0100,20230307 0100,694, ,CFS
NAP,H,20,FLOW,20230307 0200,20230307 0200,691, ,CFS
NAP,H,20,FLOW,20230307 0300,20230307 0300,670, ,CFS
NAP,H,20,FLOW,20230307 0400,20230307 0400,678, ,CFS
NAP,H,20,FLOW,20230307 0500,20230307 0500,673, ,CFS
NAP,H,20,FLOW,20230307 0600,20230307 0600,668, ,CFS
NAP,H,20,FLOW,20230307 0700,20230307 0700,662, ,CFS
NAP,H,20,FLOW,20230307 0800,20230307 0800,657, ,CFS
NAP,H,20,FLOW,20230307 0900,20230307 0900,654, ,CFS
NAP,H,20,FLOW,20230307 1000,20230307 1000,654, ,CFS
NAP,H,20,FLOW,20230307 1100,20230307 1100,654, ,CFS
NAP,H,20,FLOW,20230307 1200,20230307 1200,652, ,CFS
NAP,H,20,FLOW,20230307 1300,20230307 1300,652, ,CFS
NAP,H,20,FLOW,20230307 1400,20230307 1400,647, ,CFS
NAP,H,20,FLOW,20230307 1500,20230307 1500,644, ,CFS
NAP,H,20,FLOW,20230307 1600,20230307 1600,641, ,CFS
NAP,H,20,FLOW,20230307 1700,20230307 1700,649, ,CFS
NAP,H,20,FLOW,20230307 1800,20230307 1800,644, ,CFS
NAP,H,20,FLOW,20230307 1900,20230307 1900,636, ,CFS
NAP,H,20,FLOW,20230307 2000,20230307 2000,657, ,CFS
NAP,H,20,FLOW,20230307 2100,20230307 2100,628, ,CFS
NAP,H,20,FLOW,20230307 2200,20230307 2200,616, ,CFS
NAP,H,20,FLOW,20230307 2300,20230307 2300,621, ,CFS
NAP,H,20,FLOW,20230308 0000,20230308 0000,616, ,CFS
NAP,H,20,FLOW,20230308 0100,20230308 0100,608, ,CFS
NAP,H,20,FLOW,20230308 0200,20230308 0200,598, ,CFS
NAP,H,20,FLOW,20230308 0300,20230308 0300,598, ,CFS
NAP,H,20,FLOW,20230308 0400,20230308 0400,595, ,CFS
