receive_time,data_time,data_value,raw_value,data_quality
2023-02-15 02:35:04,2023-02-15 02:34:59,3.01800000,1.96800000,A
2023-02-15 02:41:04,2023-02-15 02:40:59,3.00900000,1.95900000,A
2023-02-15 02:47:04,2023-02-15 02:46:59,3.02800000,1.97800000,A
2023-02-15 02:53:04,2023-02-15 02:52:59,2.98500000,1.93500000,A
2023-02-15 02:59:04,2023-02-15 02:58:59,3.05300000,2.00300000,A
2023-02-15 03:05:04,2023-02-15 03:04:59,3.18700000,2.13700000,A
2023-02-15 03:11:04,2023-02-15 03:10:59,3.30700000,2.25700000,A
2023-02-15 03:17:04,2023-02-15 03:16:59,3.41900000,2.36900000,A
2023-02-15 03:23:05,2023-02-15 03:22:59,3.47400000,2.42400000,A
2023-02-15 03:29:05,2023-02-15 03:28:59,3.61500000,2.56500000,A
2023-02-15 03:35:05,2023-02-15 03:34:59,3.58600000,2.53600000,A
2023-02-15 03:41:05,2023-02-15 03:40:59,3.69900000,2.64900000,A
2023-02-15 03:47:05,2023-02-15 03:46:59,3.55700000,2.50700000,A
2023-02-15 03:53:05,2023-02-15 03:52:59,3.53100000,2.48100000,A
2023-02-15 03:59:05,2023-02-15 03:58:59,3.57600000,2.52600000,A
2023-02-15 04:05:05,2023-02-15 04:04:59,3.39600000,2.34600000,A
2023-02-15 04:11:05,2023-02-15 04:10:59,3.38800000,2.33800000,A
2023-02-15 04:17:05,2023-02-15 04:16:59,3.40400000,2.35400000,A
2023-02-15 04:23:05,2023-02-15 04:22:59,3.47100000,2.42100000,A
2023-02-15 04:29:05,2023-02-15 04:28:59,3.58800000,2.53800000,A
2023-02-15 04:35:05,2023-02-15 04:34:59,3.48800000,2.43800000,A
2023-02-15 04:41:05,2023-02-15 04:40:59,3.44400000,2.39400000,A
2023-02-15 04:47:05,2023-02-15 04:46:59,3.43600000,2.38600000,A
2023-02-15 04:53:05,2023-02-15 04:52:59,3.40500000,2.35500000,A
2023-02-15 04:59:05,2023-02-15 04:58:59,3.37200000,2.32200000,A
2023-02-15 05:05:05,2023-02-15 05:04:59,3.22000000,2.17000000,A
2023-02-15 05:11:05,2023-02-15 05:10:59,3.26700000,2.21700000,A
2023-02-15 05:17:05,2023-02-15 05:16:59,3.35800000,2.30800000,A
2023-02-15 05:23:05,2023-02-15 05:22:59,3.38800000,2.33800000,A
2023-02-15 05:29:05,2023-02-15 05:28:59,3.40000000,2.35000000,A
2023-02-15 05:35:05,2023-02-15 05:34:59,3.32500000,2.27500000,A
2023-02-15 05:41:05,2023-02-15 05:40:59,3.33500000,2.28500000,A
2023-02-15 05:47:05,2023-02-15 05:46:59,3.26100000,2.21100000,A
2023-02-15 05:53:05,2023-02-15 05:52:59,3.19700000,2.14700000,A
2023-02-15 05:59:05,2023-02-15 05:58:59,3.04900000,1.99900000,A
2023-02-15 06:05:05,2023-02-15 06:04:59,3.06600000,2.01600000,A
2023-02-15 06:11:05,2023-02-15 06:10:59,3.00500000,1.95500000,A
2023-02-15 06:17:05,2023-02-15 06:16:59,3.12300000,2.07300000,A
2023-02-15 06:23:05,2023-02-15 06:22:59,3.16700000,2.11700000,A
2023-02-15 06:29:05,2023-02-15 06:28:59,3.15600000,2.10600000,A
2023-02-15 06:35:05,2023-02-15 06:34:59,3.17100000,2.12100000,A
2023-02-15 06:41:05,2023-02-15 06:40:59,3.02200000,1.97200000,A
2023-02-15 06:47:05,2023-02-15 06:46:59,3.10400000,2.05400000,A
2023-02-15 06:53:05,2023-02-15 06:52:59,2.97200000,1.92200000,A
2023-02-15 06:59:05,2023-02-15 06:58:59,2.83700000,1.78700000,A
2023-02-15 07:05:05,2023-02-15 07:04:59,2.81900000,1.76900000,A
2023-02-15 07:11:05,2023-02-15 07:10:59,2.75500000,1.70500000,A
2023-02-15 07:17:05,2023-02-15 07:16:59,2.86600000,1.81600000,A
2023-02-15 07:23:05,2023-02-15 07:22:59,2.88000000,1.83000000,A
2023-02-15 07:29:05,2023-02-15 07:28:59,2.81100000,1.76100000,A
2023-02-15 07:35:05,2023-02-15 07:34:59,2.84300000,1.79300000,A
2023-02-15 07:41:05,2023-02-15 07:40:59,2.83900000,1.78900000,A
2023-02-15 07:47:05,2023-02-15 07:46:59,2.92400000,1.87400000,A
2023-02-15 07:53:05,2023-02-15 07:52:59,2.85800000,1.80800000,A
2023-02-15 07:59:05,2023-02-15 07:58:59,2.82700000,1.77700000,A
2023-02-15 08:05:05,2023-02-15 08:04:59,2.82400000,1.77400000,A
2023-02-15 08:11:05,2023-02-15 08:10:59,2.88700000,1.83700000,A
2023-02-15 08:17:05,2023-02-15 08:16:59,2.96400000,1.91400000,A
2023-02-15 08:23:05,2023-02-15 08:22:59,2.99000000,1.94000000,A
2023-02-15 08:29:05,2023-02-15 08:28:59,3.03900000,1.98900000,A
2023-02-15 08:35:05,2023-02-15 08:34:59,3.09400000,2.04400000,A
2023-02-15 08:41:05,2023-02-15 08:40:59,3.08400000,2.03400000,A
2023-02-15 08:47:05,2023-02-15 08:46:59,3.12700000,2.07700000,A
2023-02-15 08:53:05,2023-02-15 08:52:59,3.15100000,2.10100000,A
2023-02-15 08:59:05,2023-02-15 08:58:59,3.07500000,2.02500000,A
2023-02-15 09:05:05,2023-02-15 09:04:59,3.04900000,1.99900000,A
2023-02-15 09:11:05,2023-02-15 09:10:59,3.06500000,2.01500000,A
2023-02-15 09:17:05,2023-02-15 09:16:59,3.13600000,2.08600000,A
2023-02-15 09:23:05,2023-02-15 09:22:59,3.14000000,2.09000000,A
2023-02-15 09:29:05,2023-02-15 09:28:59,3.11500000,2.06500000,A
2023-02-15 09:35:05,2023-02-15 09:34:59,3.20100000,2.15100000,A
2023-02-15 09:41:05,2023-02-15 09:40:59,3.24600000,2.19600000,A
2023-02-15 09:47:05,2023-02-15 09:46:59,3.38900000,2.33900000,A
2023-02-15 09:53:05,2023-02-15 09:52:59,3.39100000,2.34100000,A
2023-02-15 09:59:05,2023-02-15 09:58:59,3.47300000,2.42300000,A
2023-02-15 10:05:05,2023-02-15 10:04:59,3.53500000,2.48500000,A
2023-02-15 10:11:05,2023-02-15 10:10:59,3.63000000,2.58000000,A
2023-02-15 10:17:05,2023-02-15 10:16:59,3.63600000,2.58600000,A
2023-02-15 10:23:05,2023-02-15 10:22:59,3.63100000,2.58100000,A
2023-02-15 10:29:05,2023-02-15 10:28:59,3.78600000,2.73600000,A
2023-02-15 10:35:05,2023-02-15 10:34:59,3.82400000,2.77400000,A
2023-02-15 10:41:05,2023-02-15 10:40:59,3.92100000,2.87100000,A
2023-02-15 10:47:05,2023-02-15 10:46:59,3.92700000,2.87700000,A
2023-02-15 10:53:05,2023-02-15 10:52:59,4.07500000,3.02500000,A
2023-02-15 10:59:05,2023-02-15 10:58:59,4.05900000,3.00900000,A
2023-02-15 11:05:05,2023-02-15 11:04:59,4.10600000,3.05600000,A
2023-02-15 11:11:05,2023-02-15 11:10:59,4.09800000,3.04800000,A
2023-02-15 11:17:05,2023-02-15 11:16:59,4.10300000,3.05300000,A
2023-02-15 11:23:05,2023-02-15 11:22:59,4.30300000,3.25300000,A
2023-02-15 11:29:05,2023-02-15 11:28:59,4.38600000,3.33600000,A
2023-02-15 11:35:05,2023-02-15 11:34:59,4.49600000,3.44600000,A
2023-02-15 11:41:05,2023-02-15 11:40:59,4.62000000,3.57000000,A
2023-02-15 11:47:05,2023-02-15 11:46:59,4.70300000,3.65300000,A
2023-02-15 11:53:05,2023-02-15 11:52:59,4.77000000,3.72000000,A
2023-02-15 11:59:05,2023-02-15 11:58:59,4.79400000,3.74400000,A
2023-02-15 12:05:05,2023-02-15 12:04:59,4.73100000,3.68100000,A
2023-02-15 12:11:05,2023-02-15 12:10:59,4.82200000,3.77200000,A
2023-02-15 12:17:05,2023-02-15 12:16:59,4.80100000,3.75100000,A
2023-02-15 12:23:05,2023-02-15 12:22:59,4.93400000,3.88400000,A
2023-02-15 12:29:05,2023-02-15 12:28:59,5.05000000,4.00000000,A
2023-02-15 12:35:05,2023-02-15 12:34:59,5.15600000,4.10600000,A
2023-02-15 12:41:05,2023-02-15 12:40:59,5.31600000,4.26600000,A
2023-02-15 12:47:05,2023-02-15 12:46:59,5.32100000,4.27100000,A
2023-02-15 12:53:05,2023-02-15 12:52:59,5.39700000,4.34700000,A
2023-02-15 12:59:05,2023-02-15 12:58:59,5.29600000,4.24600000,A
2023-02-15 13:05:05,2023-02-15 13:04:59,5.32700000,4.27700000,A
2023-02-15 13:11:05,2023-02-15 13:10:59,5.30200000,4.25200000,A
2023-02-15 13:17:05,2023-02-15 13:16:59,5.31500000,4.26500000,A
2023-02-15 13:23:05,2023-02-15 13:22:59,5.39600000,4.34600000,A
2023-02-15 13:29:05,2023-02-15 13:28:59,5.47300000,4.42300000,A
2023-02-15 13:35:05,2023-02-15 13:34:59,5.54800000,4.49800000,A
2023-02-15 13:41:05,2023-02-15 13:40:59,5.63600000,4.58600000,A
2023-02-15 13:47:05,2023-02-15 13:46:59,5.58500000,4.53500000,A
2023-02-15 13:53:05,2023-02-15 13:52:59,5.70600000,4.65600000,A
2023-02-15 13:59:05,2023-02-15 13:58:59,5.55500000,4.50500000,A
2023-02-15 14:05:05,2023-02-15 14:04:59,5.70700000,4.65700000,A
2023-02-15 14:11:05,2023-02-15 14:10:59,5.63300000,4.58300000,A
2023-02-15 14:17:05,2023-02-15 14:16:59,5.72400000,4.67400000,A
2023-02-15 14:23:05,2023-02-15 14:22:59,5.74600000,4.69600000,A
2023-02-15 14:29:05,2023-02-15 14:28:59,5.71800000,4.66800000,A
2023-02-15 14:35:05,2023-02-15 14:34:59,5.75200000,4.70200000,A
2023-02-15 14:41:05,2023-02-15 14:40:59,5.66500000,4.61500000,A
2023-02-15 14:47:05,2023-02-15 14:46:59,5.63300000,4.58300000,A
2023-02-15 14:53:05,2023-02-15 14:52:59,5.60500000,4.55500000,A
2023-02-15 14:59:05,2023-02-15 14:58:59,5.55800000,4.50800000,A
2023-02-15 15:05:05,2023-02-15 15:04:59,5.56300000,4.51300000,A
2023-02-15 15:11:05,2023-02-15 15:10:59,5.46400000,4.41400000,A
2023-02-15 15:17:05,2023-02-15 15:16:59,5.50800000,4.45800000,A
2023-02-15 15:23:05,2023-02-15 15:22:59,5.43600000,4.38600000,A
2023-02-15 15:29:05,2023-02-15 15:28:59,5.38400000,4.33400000,A
2023-02-15 15:35:05,2023-02-15 15:34:59,5.38800000,4.33800000,A
2023-02-15 15:41:05,2023-02-15 15:40:59,5.31800000,4.26800000,A
2023-02-15 15:47:05,2023-02-15 15:46:59,5.30300000,4.25300000,A
2023-02-15 15:53:05,2023-02-15 15:52:59,5.18500000,4.13500000,A
2023-02-15 15:59:05,2023-02-15 15:58:59,5.12000000,4.07000000,A
2023-02-15 16:05:05,2023-02-15 16:04:59,4.99400000,3.94400000,A
2023-02-15 16:11:05,2023-02-15 16:10:59,4.88700000,3.83700000,A
2023-02-15 16:17:05,2023-02-15 16:16:59,4.77800000,3.72800000,A
2023-02-15 16:23:05,2023-02-15 16:22:59,4.75800000,3.70800000,A
2023-02-15 16:29:05,2023-02-15 16:28:59,4.66400000,3.61400000,A
2023-02-15 16:35:05,2023-02-15 16:34:59,4.61200000,3.56200000,A
2023-02-15 16:41:06,2023-02-15 16:40:59,4.54900000,3.49900000,A
2023-02-15 16:47:05,2023-02-15 16:46:59,4.39400000,3.34400000,A
2023-02-15 16:53:05,2023-02-15 16:52:59,4.31000000,3.26000000,A
2023-02-15 16:59:05,2023-02-15 16:58:59,4.10600000,3.05600000,A
2023-02-15 17:05:05,2023-02-15 17:04:59,3.94400000,2.89400000,A
2023-02-15 17:11:05,2023-02-15 17:10:59,3.86400000,2.81400000,A
2023-02-15 17:17:05,2023-02-15 17:16:59,3.72600000,2.67600000,A
2023-02-15 17:23:05,2023-02-15 17:22:59,3.59800000,2.54800000,A
2023-02-15 17:29:05,2023-02-15 17:28:59,3.51700000,2.46700000,A
2023-02-15 17:35:05,2023-02-15 17:34:59,3.37000000,2.32000000,A
2023-02-15 17:41:05,2023-02-15 17:40:59,3.27900000,2.22900000,A
2023-02-15 17:47:05,2023-02-15 17:46:59,3.17500000,2.12500000,A
2023-02-15 17:53:05,2023-02-15 17:52:59,3.06700000,2.01700000,A
2023-02-15 17:59:05,2023-02-15 17:58:59,2.99200000,1.94200000,A
2023-02-15 18:05:05,2023-02-15 18:04:59,2.90700000,1.85700000,A
2023-02-15 18:11:05,2023-02-15 18:10:59,2.83100000,1.78100000,A
2023-02-15 18:17:05,2023-02-15 18:16:59,2.69500000,1.64500000,A
2023-02-15 18:23:05,2023-02-15 18:22:59,2.55200000,1.50200000,A
2023-02-15 18:29:05,2023-02-15 18:28:59,2.43400000,1.38400000,A
2023-02-15 18:35:05,2023-02-15 18:34:59,2.32500000,1.27500000,A
2023-02-15 18:41:05,2023-02-15 18:40:59,2.19000000,1.14000000,A
2023-02-15 18:47:05,2023-02-15 18:46:59,2.05900000,1.00900000,A
2023-02-15 18:53:05,2023-02-15 18:52:59,1.97100000,0.92100000,A
2023-02-15 18:59:05,2023-02-15 18:58:59,1.88100000,0.83100000,A
2023-02-15 19:05:05,2023-02-15 19:04:59,1.80800000,0.75800000,A
2023-02-15 19:11:05,2023-02-15 19:10:59,1.71300000,0.66300000,A
2023-02-15 19:17:05,2023-02-15 19:16:59,1.64400000,0.59400000,A
2023-02-15 19:23:05,2023-02-15 19:22:59,1.57100000,0.52100000,A
2023-02-15 19:29:05,2023-02-15 19:28:59,1.51400000,0.46400000,A
2023-02-15 19:35:05,2023-02-15 19:34:59,1.47100000,0.42100000,A
2023-02-15 19:41:05,2023-02-15 19:40:59,1.43800000,0.38800000,A
2023-02-15 19:47:05,2023-02-15 19:46:59,1.40800000,0.35800000,A
2023-02-15 19:53:05,2023-02-15 19:52:59,1.38100000,0.33100000,A
2023-02-15 19:59:05,2023-02-15 19:58:59,1.36600000,0.31600000,A
2023-02-15 20:05:05,2023-02-15 20:04:59,1.35200000,0.30200000,A
2023-02-15 20:11:05,2023-02-15 20:10:59,1.34300000,0.29300000,A
2023-02-15 20:17:05,2023-02-15 20:16:59,1.33600000,0.28600000,A
2023-02-15 20:23:05,2023-02-15 20:22:59,1.33500000,0.28500000,A
2023-02-15 20:29:05,2023-02-15 20:28:59,1.33300000,0.28300000,A
2023-02-15 20:35:05,2023-02-15 20:34:59,1.33300000,0.28300000,A
2023-02-15 20:41:05,2023-02-15 20:40:59,1.33300000,0.28300000,A
2023-02-15 20:47:05,2023-02-15 20:46:59,1.32900000,0.27900000,A
2023-02-15 20:53:05,2023-02-15 20:52:59,1.32600000,0.27600000,A
2023-02-15 20:59:05,2023-02-15 20:58:59,1.32400000,0.27400000,A
2023-02-15 21:05:05,2023-02-15 21:04:59,1.31900000,0.26900000,A
2023-02-15 21:11:05,2023-02-15 21:10:59,1.32000000,0.27000000,A
2023-02-15 21:17:05,2023-02-15 21:16:59,1.31800000,0.26800000,A
2023-02-15 21:23:05,2023-02-15 21:22:59,1.31700000,0.26700000,A
2023-02-15 21:29:05,2023-02-15 21:28:59,1.31400000,0.26400000,A
2023-02-15 21:35:05,2023-02-15 21:34:59,1.31400000,0.26400000,A
2023-02-15 21:41:05,2023-02-15 21:40:59,1.31200000,0.26200000,A
2023-02-15 21:47:05,2023-02-15 21:46:59,1.31200000,0.26200000,A
2023-02-15 21:53:05,2023-02-15 21:52:59,1.31100000,0.26100000,A
2023-02-15 21:59:05,2023-02-15 21:58:59,1.31000000,0.26000000,A
2023-02-15 22:05:05,2023-02-15 22:04:59,1.31500000,0.26500000,A
2023-02-15 22:11:05,2023-02-15 22:10:59,1.31200000,0.26200000,A
2023-02-15 22:17:05,2023-02-15 22:16:59,1.31400000,0.26400000,A
2023-02-15 22:23:05,2023-02-15 22:22:59,1.31400000,0.26400000,A
2023-02-15 22:29:05,2023-02-15 22:28:59,1.31300000,0.26300000,A
2023-02-15 22:35:05,2023-02-15 22:34:59,1.31400000,0.26400000,A
2023-02-15 22:41:05,2023-02-15 22:40:59,1.31000000,0.26000000,A
2023-02-15 22:47:05,2023-02-15 22:46:59,1.31500000,0.26500000,A
2023-02-15 22:53:05,2023-02-15 22:52:59,1.31500000,0.26500000,A
2023-02-15 22:59:05,2023-02-15 22:58:59,1.31500000,0.26500000,A
2023-02-15 23:05:05,2023-02-15 23:04:59,1.31500000,0.26500000,A
2023-02-15 23:11:05,2023-02-15 23:10:59,1.31700000,0.26700000,A
2023-02-15 23:17:05,2023-02-15 23:16:59,1.31700000,0.26700000,A
2023-02-15 23:23:05,2023-02-15 23:22:59,1.31700000,0.26700000,A
2023-02-15 23:29:05,2023-02-15 23:28:59,1.31800000,0.26800000,A
2023-02-15 23:35:05,2023-02-15 23:34:59,1.31900000,0.26900000,A
2023-02-15 23:41:05,2023-02-15 23:40:59,1.32000000,0.27000000,A
2023-02-15 23:47:05,2023-02-15 23:46:59,1.32000000,0.27000000,A
2023-02-15 23:53:05,2023-02-15 23:52:59,1.32000000,0.27000000,A
2023-02-15 23:59:05,2023-02-15 23:58:59,1.32200000,0.27200000,A
2023-02-16 00:05:05,2023-02-16 00:04:59,1.32100000,0.27100000,A
2023-02-16 00:11:05,2023-02-16 00:10:59,1.32400000,0.27400000,A
2023-02-16 00:17:05,2023-02-16 00:16:59,1.32500000,0.27500000,A
2023-02-16 00:23:05,2023-02-16 00:22:59,1.32600000,0.27600000,A
2023-02-16 00:29:05,2023-02-16 00:28:59,1.32800000,0.27800000,A
2023-02-16 00:35:05,2023-02-16 00:34:59,1.33000000,0.28000000,A
2023-02-16 00:41:05,2023-02-16 00:40:59,1.33000000,0.28000000,A
2023-02-16 00:47:05,2023-02-16 00:46:59,1.33000000,0.28000000,A
2023-02-16 00:53:05,2023-02-16 00:52:59,1.32800000,0.27800000,A
2023-02-16 01:05:05,2023-02-16 01:04:59,1.33600000,0.28600000,A
2023-02-16 01:17:05,2023-02-16 01:16:59,1.34500000,0.29500000,A
2023-02-16 01:23:05,2023-02-16 01:22:59,1.34900000,0.29900000,A
2023-02-16 01:29:05,2023-02-16 01:28:59,1.41500000,0.36500000,A
2023-02-16 01:35:05,2023-02-16 01:34:59,1.57900000,0.52900000,A
2023-02-16 01:41:05,2023-02-16 01:40:59,1.72600000,0.67600000,A
2023-02-16 01:47:05,2023-02-16 01:46:59,1.89800000,0.84800000,A
2023-02-16 01:53:05,2023-02-16 01:52:59,2.07400000,1.02400000,A
2023-02-16 01:59:05,2023-02-16 01:58:59,2.21400000,1.16400000,A
2023-02-16 02:05:05,2023-02-16 02:04:59,2.31200000,1.26200000,A
2023-02-16 02:11:05,2023-02-16 02:10:59,2.34600000,1.29600000,A
2023-02-16 02:17:05,2023-02-16 02:16:59,2.42600000,1.37600000,A
2023-02-16 02:23:05,2023-02-16 02:22:59,2.44200000,1.39200000,A
2023-02-16 02:29:05,2023-02-16 02:28:59,2.51200000,1.46200000,A
2023-02-16 02:35:05,2023-02-16 02:34:59,2.61000000,1.56000000,A
2023-02-16 02:41:05,2023-02-16 02:40:59,2.67400000,1.62400000,A
2023-02-16 02:47:05,2023-02-16 02:46:59,2.85100000,1.80100000,A
2023-02-16 02:53:05,2023-02-16 02:52:59,2.95500000,1.90500000,A
2023-02-16 02:59:05,2023-02-16 02:58:59,2.98200000,1.93200000,A
2023-02-16 03:05:05,2023-02-16 03:04:59,3.05500000,2.00500000,A
2023-02-16 03:11:05,2023-02-16 03:10:59,3.12600000,2.07600000,A
2023-02-16 03:17:05,2023-02-16 03:16:59,3.21900000,2.16900000,A
2023-02-16 03:23:05,2023-02-16 03:22:59,3.16700000,2.11700000,A
2023-02-16 03:29:05,2023-02-16 03:28:59,3.19000000,2.14000000,A
2023-02-16 03:35:05,2023-02-16 03:34:59,3.27400000,2.22400000,A
2023-02-16 03:41:05,2023-02-16 03:40:59,3.41100000,2.36100000,A
2023-02-16 03:47:05,2023-02-16 03:46:59,3.51500000,2.46500000,A
2023-02-16 03:53:05,2023-02-16 03:52:59,3.58700000,2.53700000,A
2023-02-16 03:59:05,2023-02-16 03:58:59,3.59700000,2.54700000,A
2023-02-16 04:05:05,2023-02-16 04:04:59,3.70600000,2.65600000,A
2023-02-16 04:11:05,2023-02-16 04:10:59,3.70800000,2.65800000,A
2023-02-16 04:17:05,2023-02-16 04:16:59,3.67400000,2.62400000,A
2023-02-16 04:23:05,2023-02-16 04:22:59,3.57000000,2.52000000,A
2023-02-16 04:29:05,2023-02-16 04:28:59,3.62800000,2.57800000,A
2023-02-16 04:35:05,2023-02-16 04:34:59,3.73400000,2.68400000,A
2023-02-16 04:41:05,2023-02-16 04:40:59,3.79100000,2.74100000,A
2023-02-16 04:47:05,2023-02-16 04:46:59,3.82700000,2.77700000,A
2023-02-16 04:53:05,2023-02-16 04:52:59,3.89700000,2.84700000,A
2023-02-16 04:59:05,2023-02-16 04:58:59,4.02200000,2.97200000,A
2023-02-16 05:05:05,2023-02-16 05:04:59,4.08800000,3.03800000,A
2023-02-16 05:11:05,2023-02-16 05:10:59,4.00800000,2.95800000,A
2023-02-16 05:17:05,2023-02-16 05:16:59,3.98000000,2.93000000,A
2023-02-16 05:23:05,2023-02-16 05:22:59,3.88000000,2.83000000,A
2023-02-16 05:29:05,2023-02-16 05:28:59,3.96200000,2.91200000,A
2023-02-16 05:35:05,2023-02-16 05:34:59,3.83800000,2.78800000,A
2023-02-16 05:41:05,2023-02-16 05:40:59,3.72500000,2.67500000,A
2023-02-16 05:47:05,2023-02-16 05:46:59,3.81100000,2.76100000,A
2023-02-16 05:53:05,2023-02-16 05:52:59,3.86900000,2.81900000,A
2023-02-16 05:59:05,2023-02-16 05:58:59,3.94500000,2.89500000,A
2023-02-16 06:05:05,2023-02-16 06:04:59,3.91000000,2.86000000,A
2023-02-16 06:11:05,2023-02-16 06:10:59,3.81600000,2.76600000,A
2023-02-16 06:17:05,2023-02-16 06:16:59,3.87700000,2.82700000,A
2023-02-16 06:23:05,2023-02-16 06:22:59,3.71900000,2.66900000,A
2023-02-16 06:29:05,2023-02-16 06:28:59,3.66100000,2.61100000,A
2023-02-16 06:35:05,2023-02-16 06:34:59,3.58900000,2.53900000,A
2023-02-16 06:41:05,2023-02-16 06:40:59,3.59500000,2.54500000,A
2023-02-16 06:47:05,2023-02-16 06:46:59,3.67200000,2.62200000,A
