,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-15 09:00:00+00:00,-0.18179286,-0.18935326,-0.19017276,-0.17767283,-0.1885983
2022-11-15 10:00:00+00:00,-0.18638927,-0.19225425,-0.19193524,-0.18112588,-0.19115403
2022-11-15 11:00:00+00:00,-0.19016606,-0.19541463,-0.19419074,-0.18398601,-0.19393477
2022-11-15 12:00:00+00:00,-0.1935159,-0.19823822,-0.19638592,-0.18655878,-0.19645044
2022-11-15 13:00:00+00:00,-0.19611248,-0.20023903,-0.19856352,-0.18928275,-0.19867066
2022-11-15 14:00:00+00:00,-0.19844681,-0.20181161,-0.20060238,-0.19217247,-0.20016453
2022-11-15 15:00:00+00:00,-0.20013383,-0.20275214,-0.20281789,-0.1940743,-0.20138839
2022-11-15 16:00:00+00:00,-0.20144343,-0.2035693,-0.20534071,-0.19518042,-0.20288649
2022-11-15 17:00:00+00:00,-0.20215887,-0.2052105,-0.20827234,-0.1955297,-0.2046434
2022-11-15 18:00:00+00:00,-0.20204008,-0.20695817,-0.21129209,-0.19487247,-0.20637232
2022-11-15 19:00:00+00:00,-0.20095399,-0.20920908,-0.21363997,-0.1936104,-0.20768902
2022-11-15 20:00:00+00:00,-0.19882646,-0.20933259,-0.21478334,-0.19117084,-0.207773
2022-11-15 21:00:00+00:00,-0.19631425,-0.20927575,-0.214885,-0.18881986,-0.20722952
2022-11-15 22:00:00+00:00,-0.19439575,-0.20886329,-0.21378514,-0.1871511,-0.20626032
2022-11-15 23:00:00+00:00,-0.19307706,-0.20818967,-0.21195355,-0.18591839,-0.20548078
2022-11-16 00:00:00+00:00,-0.19222549,-0.20755017,-0.21077925,-0.18494791,-0.20560786
2022-11-16 01:00:00+00:00,-0.19164908,-0.20570672,-0.20999685,-0.1841662,-0.2061547
2022-11-16 02:00:00+00:00,-0.19122997,-0.20371741,-0.20955232,-0.18331948,-0.20708507
2022-11-16 03:00:00+00:00,-0.19087544,-0.20319134,-0.20935741,-0.18250537,-0.2082006
2022-11-16 04:00:00+00:00,-0.19148931,-0.20357957,-0.20791572,-0.1827656,-0.2087413
2022-11-16 05:00:00+00:00,-0.19290027,-0.20499068,-0.20640373,-0.18447724,-0.20910692
2022-11-16 06:00:00+00:00,-0.19542506,-0.20651203,-0.20516849,-0.18757921,-0.20944601
2022-11-16 07:00:00+00:00,-0.19901031,-0.20764619,-0.20470837,-0.19148389,-0.21050903
2022-11-16 08:00:00+00:00,-0.20409325,-0.21007341,-0.20534691,-0.19617268,-0.21295103
2022-11-16 09:00:00+00:00,-0.20969105,-0.21443984,-0.20727283,-0.20105675,-0.21619433
2022-11-16 10:00:00+00:00,-0.21474421,-0.2173912,-0.20990932,-0.20506632,-0.21932137
2022-11-16 11:00:00+00:00,-0.21861759,-0.22030559,-0.21253935,-0.20837486,-0.22235045
2022-11-16 12:00:00+00:00,-0.22160426,-0.22223836,-0.21488947,-0.21099693,-0.22485077
2022-11-16 13:00:00+00:00,-0.2237112,-0.22465435,-0.21734822,-0.21314505,-0.22674355
2022-11-16 14:00:00+00:00,-0.22550282,-0.22673911,-0.21964222,-0.2149005,-0.22805718
