,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-14 07:00:00+00:00,-0.16398749,-0.17475699,-0.17552826,-0.19158366,-0.16447224,-0.18857238,-0.17390017,-0.18322992,-0.17549038,-0.18481162,-0.1776333,0.009355812
2022-11-14 08:00:00+00:00,-0.16489157,-0.17538942,-0.17541894,-0.1921521,-0.16585284,-0.18915066,-0.1746816,-0.18414682,-0.1761486,-0.18598539,-0.1783818,0.009261701
2022-11-14 09:00:00+00:00,-0.16463879,-0.17520806,-0.17527725,-0.19215117,-0.16551709,-0.18920422,-0.17451286,-0.18413372,-0.17606308,-0.18576384,-0.178247,0.009360347
2022-11-14 10:00:00+00:00,-0.16412526,-0.17494294,-0.17489241,-0.19197594,-0.16503485,-0.18937165,-0.17406994,-0.18405661,-0.17557098,-0.18526736,-0.17793079,0.009516314
2022-11-14 11:00:00+00:00,-0.16341929,-0.1745471,-0.17419054,-0.19196603,-0.16435578,-0.18980551,-0.17344646,-0.18386269,-0.17495361,-0.18449302,-0.17750399,0.009796266
2022-11-14 12:00:00+00:00,-0.16247353,-0.1740472,-0.17335704,-0.1915757,-0.16327362,-0.19019839,-0.1724593,-0.18365106,-0.17399137,-0.18342197,-0.17684492,0.010126853
2022-11-14 13:00:00+00:00,-0.16140896,-0.17327093,-0.17279445,-0.19128084,-0.16177589,-0.19013461,-0.17122969,-0.18294375,-0.17311251,-0.1820921,-0.17600438,0.010449143
2022-11-14 14:00:00+00:00,-0.15965152,-0.17244181,-0.17180088,-0.18932429,-0.16021565,-0.19045633,-0.16956116,-0.18176548,-0.17156202,-0.18031347,-0.17470926,0.010695665
2022-11-14 15:00:00+00:00,-0.15888718,-0.17201158,-0.17119339,-0.18829453,-0.1594687,-0.19062552,-0.16873235,-0.18134403,-0.17056242,-0.17935833,-0.1740478,0.010823418
2022-11-14 16:00:00+00:00,-0.15583417,-0.17049724,-0.17013127,-0.18459916,-0.15643473,-0.1893503,-0.16549145,-0.17821398,-0.16733347,-0.17547624,-0.1713362,0.010952237
2022-11-14 17:00:00+00:00,-0.15158945,-0.16776022,-0.16774724,-0.18027115,-0.15129632,-0.18512726,-0.15988103,-0.17260444,-0.16322257,-0.16860649,-0.1668106,0.010997618
2022-11-14 18:00:00+00:00,-0.14925055,-0.16668415,-0.16504206,-0.17731377,-0.14845753,-0.18231118,-0.15710618,-0.16983935,-0.1603905,-0.16539815,-0.16417934,0.010935393
2022-11-14 19:00:00+00:00,-0.1485321,-0.16622904,-0.16450448,-0.17663848,-0.14748739,-0.18141824,-0.1560134,-0.16857824,-0.15982975,-0.16415903,-0.16333902,0.010944636
2022-11-14 20:00:00+00:00,-0.14891478,-0.16629548,-0.1654537,-0.17714074,-0.14774004,-0.1817753,-0.15613356,-0.16850583,-0.16024488,-0.16412306,-0.16363272,0.010969269
2022-11-14 21:00:00+00:00,-0.14998332,-0.16688123,-0.1672186,-0.17854503,-0.14905071,-0.1831128,-0.15754215,-0.16934638,-0.16190393,-0.16588575,-0.16494699,0.010978442
2022-11-14 22:00:00+00:00,-0.15109777,-0.16702087,-0.16958314,-0.18040532,-0.14995705,-0.18300012,-0.15805514,-0.16931106,-0.16348848,-0.16680261,-0.16587217,0.010907304
2022-11-14 23:00:00+00:00,-0.1529867,-0.1673193,-0.17062189,-0.1826995,-0.15172969,-0.18321002,-0.15987417,-0.17020296,-0.16571186,-0.16874301,-0.16730991,0.010629034
2022-11-15 00:00:00+00:00,-0.15393092,-0.16818096,-0.17105977,-0.18448469,-0.15303506,-0.18162766,-0.16138858,-0.16988404,-0.16714132,-0.1697439,-0.16804768,0.010218491
2022-11-15 01:00:00+00:00,-0.15720735,-0.17093134,-0.17364174,-0.18869773,-0.15741895,-0.18139437,-0.16506876,-0.17461346,-0.17097834,-0.17503518,-0.17149873,0.009803346
2022-11-15 02:00:00+00:00,-0.16139284,-0.17368203,-0.17695877,-0.19202697,-0.16246383,-0.18096694,-0.16984469,-0.17998196,-0.17490922,-0.18041646,-0.17526439,0.009149688
2022-11-15 03:00:00+00:00,-0.16547218,-0.17599843,-0.17994083,-0.19343267,-0.16675416,-0.18114644,-0.1741015,-0.18433835,-0.17789292,-0.184695,-0.17837724,0.008419819
2022-11-15 04:00:00+00:00,-0.16998696,-0.17817697,-0.1828177,-0.1949276,-0.17036852,-0.18266702,-0.17776181,-0.18861358,-0.1808625,-0.18893853,-0.18151212,0.007966701
2022-11-15 05:00:00+00:00,-0.17590858,-0.18024251,-0.18510437,-0.1966112,-0.17350113,-0.18474254,-0.18093826,-0.19220732,-0.18392608,-0.19336608,-0.1846548,0.007533664
2022-11-15 06:00:00+00:00,-0.18080412,-0.18157735,-0.18697995,-0.19792064,-0.17676789,-0.18589377,-0.18297768,-0.19348705,-0.18610047,-0.19603592,-0.18685448,0.0069400673
2022-11-15 07:00:00+00:00,-0.18425807,-0.18273072,-0.18704061,-0.19985418,-0.17943414,-0.18794268,-0.18408252,-0.19376755,-0.1880723,-0.19659165,-0.18837744,0.0064772666
2022-11-15 08:00:00+00:00,-0.18580705,-0.18344209,-0.18650568,-0.20160137,-0.1799721,-0.1902152,-0.18469056,-0.19349624,-0.18974179,-0.1975471,-0.18930191,0.0066713337
2022-11-15 09:00:00+00:00,-0.1864827,-0.18391062,-0.18681873,-0.20287208,-0.18079916,-0.19161868,-0.18504511,-0.19342278,-0.19089815,-0.19826424,-0.19001323,0.006814262
2022-11-15 10:00:00+00:00,-0.18921956,-0.18580814,-0.18780877,-0.20447809,-0.18256749,-0.19448677,-0.18531018,-0.1926624,-0.19266209,-0.1990382,-0.19140416,0.0067174067
2022-11-15 11:00:00+00:00,-0.19205627,-0.1879648,-0.18834051,-0.20648485,-0.18560016,-0.19808426,-0.18663216,-0.19502398,-0.19476128,-0.19994487,-0.19348931,0.00669982
2022-11-15 12:00:00+00:00,-0.19610573,-0.18998711,-0.18961714,-0.20849544,-0.18898289,-0.19995135,-0.1902523,-0.1963126,-0.1974189,-0.20118192,-0.19583054,0.0063211117
2022-11-15 13:00:00+00:00,-0.19639203,-0.18963648,-0.18949158,-0.20988297,-0.18931444,-0.201749,-0.19034018,-0.19885896,-0.1979581,-0.20164326,-0.19652669,0.0068848124
2022-11-15 14:00:00+00:00,-0.19391206,-0.18873759,-0.18755187,-0.21071963,-0.18844701,-0.20230201,-0.18889192,-0.20142674,-0.19731642,-0.2017273,-0.19610325,0.007862047
2022-11-15 15:00:00+00:00,-0.18942885,-0.18628314,-0.18562722,-0.2106195,-0.18614,-0.20205969,-0.1863485,-0.20294526,-0.1952918,-0.2013054,-0.19460492,0.009088674
2022-11-15 16:00:00+00:00,-0.18420538,-0.1835895,-0.18345171,-0.21000469,-0.18295333,-0.20192406,-0.18402858,-0.20219417,-0.19268978,-0.20069668,-0.1925738,0.010270475
2022-11-15 17:00:00+00:00,-0.18100524,-0.18183519,-0.18263453,-0.20961118,-0.18056577,-0.20106408,-0.18303464,-0.20102441,-0.19124958,-0.19943139,-0.19114561,0.010776926
2022-11-15 18:00:00+00:00,-0.17868659,-0.18041591,-0.18219417,-0.2093547,-0.178437,-0.19967008,-0.18191399,-0.19977173,-0.19041106,-0.19804072,-0.1898896,0.011096383
2022-11-15 19:00:00+00:00,-0.17651513,-0.17878015,-0.18151987,-0.2090418,-0.1755786,-0.1979427,-0.18039818,-0.19822472,-0.18943079,-0.19526902,-0.18827012,0.011408063
2022-11-15 20:00:00+00:00,-0.17812681,-0.17944081,-0.18296036,-0.21067213,-0.17613757,-0.19724667,-0.18135403,-0.19869092,-0.19169408,-0.19599554,-0.1892319,0.011339434
2022-11-15 21:00:00+00:00,-0.17709415,-0.17872928,-0.1829254,-0.21084824,-0.1748769,-0.19684651,-0.18061964,-0.19819343,-0.19201158,-0.19457,-0.18867151,0.011625062
2022-11-15 22:00:00+00:00,-0.175654,-0.17775622,-0.18235438,-0.20999664,-0.17341228,-0.19562268,-0.17889522,-0.19660911,-0.19201598,-0.19170597,-0.18740225,0.011677586
2022-11-15 23:00:00+00:00,-0.17387462,-0.17675936,-0.181161,-0.20834315,-0.17164958,-0.19403264,-0.17643353,-0.19431442,-0.19169544,-0.18862474,-0.18568884,0.011664336
2022-11-16 00:00:00+00:00,-0.17228374,-0.17556378,-0.1797874,-0.20574942,-0.17018354,-0.19288242,-0.1748634,-0.19206683,-0.19085264,-0.18505445,-0.18392876,0.011380231
2022-11-16 01:00:00+00:00,-0.1716223,-0.17498897,-0.1794047,-0.20469537,-0.16969651,-0.19252974,-0.17454104,-0.19111875,-0.19082132,-0.18352869,-0.18329473,0.011269893
2022-11-16 02:00:00+00:00,-0.17617929,-0.17768094,-0.1832645,-0.21056512,-0.17473242,-0.19454002,-0.1779155,-0.19567609,-0.19519298,-0.18916027,-0.1874907,0.0115841525
2022-11-16 03:00:00+00:00,-0.1825515,-0.18085292,-0.18891612,-0.21594362,-0.18072832,-0.19635719,-0.18423392,-0.2010276,-0.20080242,-0.19563714,-0.19270508,0.011401385
2022-11-16 04:00:00+00:00,-0.18916328,-0.18409118,-0.19599408,-0.22084305,-0.1871263,-0.1987108,-0.19126673,-0.20424476,-0.20756023,-0.20123918,-0.19802396,0.0110671315
2022-11-16 05:00:00+00:00,-0.19296195,-0.18724145,-0.20098874,-0.22415233,-0.192144,-0.20084015,-0.19526796,-0.2061719,-0.21204177,-0.20373878,-0.2015549,0.010823532
2022-11-16 06:00:00+00:00,-0.19680822,-0.19061625,-0.20572335,-0.22718345,-0.19782801,-0.2026717,-0.19934668,-0.20850128,-0.21592936,-0.2069529,-0.20515612,0.010491925
2022-11-16 07:00:00+00:00,-0.19953212,-0.19266558,-0.2083435,-0.2290123,-0.20064119,-0.20435098,-0.2018118,-0.21024214,-0.21851686,-0.20920292,-0.20743194,0.010371419
2022-11-16 08:00:00+00:00,-0.19919978,-0.19252346,-0.20782384,-0.2299796,-0.1991923,-0.20626375,-0.20197931,-0.21247968,-0.21898906,-0.20953512,-0.20779657,0.010851061
2022-11-16 09:00:00+00:00,-0.20020825,-0.19362366,-0.20896989,-0.23154813,-0.20052187,-0.20835236,-0.20339221,-0.21411234,-0.2204524,-0.21100515,-0.20921862,0.010988516
2022-11-16 10:00:00+00:00,-0.20226803,-0.19498783,-0.21054313,-0.23337504,-0.20301437,-0.21135494,-0.20504662,-0.21586621,-0.22203179,-0.21298835,-0.21114764,0.0109643
2022-11-16 11:00:00+00:00,-0.20531677,-0.19666997,-0.21222126,-0.23524526,-0.20491439,-0.21478984,-0.20681523,-0.21738304,-0.22369407,-0.21469522,-0.21317449,0.010873697
2022-11-16 12:00:00+00:00,-0.2082086,-0.19855432,-0.21404576,-0.23710823,-0.2069421,-0.2182503,-0.20875862,-0.21859542,-0.22570741,-0.2161353,-0.21523061,0.010796346
2022-11-16 13:00:00+00:00,-0.21058014,-0.19942981,-0.21488768,-0.23846397,-0.20800427,-0.2207635,-0.20989053,-0.22017713,-0.22706063,-0.21707764,-0.21663353,0.01090716
2022-11-16 14:00:00+00:00,-0.20912953,-0.19528157,-0.21124998,-0.23710118,-0.20416574,-0.2151399,-0.20670454,-0.22098796,-0.2256665,-0.21296237,-0.2138389,0.011796045
2022-11-16 15:00:00+00:00,-0.20571654,-0.18989582,-0.2073247,-0.23421565,-0.19941276,-0.2135872,-0.20254041,-0.21821931,-0.22176133,-0.2075192,-0.2100193,0.012510974
2022-11-16 16:00:00+00:00,-0.20123498,-0.18414088,-0.20314816,-0.23011166,-0.19367155,-0.21256694,-0.19711174,-0.2143815,-0.21595174,-0.2012634,-0.20535824,0.013130762
2022-11-16 17:00:00+00:00,-0.19743246,-0.17986688,-0.19985007,-0.22547024,-0.18943089,-0.21113706,-0.19243379,-0.21103176,-0.21109176,-0.19619358,-0.20139384,0.013306079
2022-11-16 18:00:00+00:00,-0.19297612,-0.17537975,-0.1962447,-0.21979424,-0.18436262,-0.20864052,-0.18725672,-0.20684637,-0.20621619,-0.19006707,-0.19677843,0.013430377
2022-11-16 19:00:00+00:00,-0.19090265,-0.17330417,-0.19471902,-0.21720889,-0.1817573,-0.20710853,-0.18507159,-0.20498298,-0.20408772,-0.18717448,-0.19463173,0.013513364
2022-11-16 20:00:00+00:00,-0.19071707,-0.17364268,-0.19403864,-0.21639451,-0.18045941,-0.20539045,-0.18662436,-0.20436138,-0.20552528,-0.18532938,-0.19424832,0.013370603
2022-11-16 21:00:00+00:00,-0.19166106,-0.17496863,-0.19443777,-0.21773478,-0.18118355,-0.20517248,-0.18873715,-0.20509207,-0.20764548,-0.18603808,-0.19526711,0.013352271
2022-11-16 22:00:00+00:00,-0.19105458,-0.17454356,-0.19390565,-0.21702334,-0.18056096,-0.2049866,-0.18804938,-0.20457354,-0.2068733,-0.18584013,-0.1947411,0.013302662
2022-11-16 23:00:00+00:00,-0.18921608,-0.17308183,-0.19160852,-0.21357116,-0.1771603,-0.20289627,-0.18605974,-0.20110817,-0.20466042,-0.1822979,-0.19216605,0.013091336
2022-11-17 00:00:00+00:00,-0.18970251,-0.1740109,-0.19248478,-0.21551791,-0.1788052,-0.20398441,-0.18647358,-0.20314866,-0.20498577,-0.18500784,-0.19341215,0.01313331
2022-11-17 01:00:00+00:00,-0.19136728,-0.17672986,-0.19448218,-0.21932104,-0.18196237,-0.20448846,-0.1895088,-0.2056622,-0.20833273,-0.18889123,-0.19607463,0.013107052
2022-11-17 02:00:00+00:00,-0.19311017,-0.18010402,-0.19669692,-0.2234633,-0.18548453,-0.20464918,-0.19268547,-0.20762593,-0.21182758,-0.19300348,-0.19886506,0.013015756
2022-11-17 03:00:00+00:00,-0.1953462,-0.184004,-0.20007026,-0.22749668,-0.19014272,-0.20564616,-0.19560082,-0.21040207,-0.21516508,-0.19818476,-0.20220587,0.012801126
2022-11-17 04:00:00+00:00,-0.19795254,-0.18801117,-0.20385844,-0.23062822,-0.1949359,-0.20688847,-0.19854113,-0.21329924,-0.21859674,-0.20358938,-0.20563014,0.012448709
2022-11-17 05:00:00+00:00,-0.20019913,-0.19185385,-0.20772344,-0.2326632,-0.199359,-0.20850354,-0.20229755,-0.21576643,-0.2213381,-0.20841327,-0.20881176,0.011875014
2022-11-17 06:00:00+00:00,-0.20277509,-0.19463909,-0.21056555,-0.23396048,-0.2029262,-0.21122149,-0.20510596,-0.21673723,-0.22295941,-0.21191359,-0.21128039,0.011248049
2022-11-17 07:00:00+00:00,-0.20397799,-0.19661206,-0.21262145,-0.23470955,-0.20533209,-0.21329352,-0.20680022,-0.21626696,-0.22368872,-0.21389349,-0.2127196,0.010768592
2022-11-17 08:00:00+00:00,-0.20338073,-0.1958009,-0.21135375,-0.23409301,-0.20405874,-0.21287954,-0.20589684,-0.2163191,-0.22256975,-0.21391055,-0.21202628,0.010854209
2022-11-17 09:00:00+00:00,-0.20119765,-0.193522,-0.20846781,-0.23235968,-0.20123477,-0.21044144,-0.20355976,-0.21587285,-0.22033001,-0.21193686,-0.2098923,0.011128764
2022-11-17 10:00:00+00:00,-0.19888592,-0.19262646,-0.20754921,-0.2312218,-0.19941977,-0.20845282,-0.20247933,-0.21478824,-0.2194227,-0.2103486,-0.20851949,0.011267189
2022-11-17 11:00:00+00:00,-0.1993176,-0.19283547,-0.2076283,-0.23084378,-0.19938013,-0.20827621,-0.20239505,-0.21389723,-0.2188156,-0.21088365,-0.20842731,0.01101192
2022-11-17 12:00:00+00:00,-0.19600439,-0.18963191,-0.20405585,-0.2280137,-0.19486617,-0.2048268,-0.1989015,-0.21200094,-0.21573186,-0.20708197,-0.2051115,0.0113330055
2022-11-17 13:00:00+00:00,-0.19248836,-0.18628366,-0.20010039,-0.22546908,-0.19056389,-0.2029593,-0.19510017,-0.20980498,-0.2120339,-0.20371887,-0.20185228,0.011716686
2022-11-17 14:00:00+00:00,-0.18893024,-0.18250704,-0.19590342,-0.22258064,-0.18573731,-0.20148203,-0.19059895,-0.20687284,-0.20841786,-0.19930935,-0.19823398,0.012186494
2022-11-17 15:00:00+00:00,-0.18500583,-0.1805801,-0.19188881,-0.21952507,-0.18288153,-0.19876924,-0.18721135,-0.20352346,-0.20569426,-0.19469403,-0.19497737,0.012146368
2022-11-17 16:00:00+00:00,-0.1805968,-0.17827749,-0.18685958,-0.21464539,-0.17851721,-0.1966582,-0.18385123,-0.19866312,-0.20104334,-0.18932283,-0.19084352,0.011773021
2022-11-17 17:00:00+00:00,-0.17669077,-0.17686398,-0.18322846,-0.209829,-0.17533302,-0.19402379,-0.18158603,-0.19433077,-0.19770655,-0.18492971,-0.18745221,0.011204074
2022-11-17 18:00:00+00:00,-0.17385922,-0.17601039,-0.18043138,-0.20578665,-0.17300853,-0.1914503,-0.17988418,-0.19045752,-0.19539486,-0.1816107,-0.18478937,0.010637155
2022-11-17 19:00:00+00:00,-0.17198512,-0.17539757,-0.17780896,-0.20212987,-0.17128083,-0.18924502,-0.1787868,-0.18734005,-0.19298771,-0.17881674,-0.18257785,0.010002342
2022-11-17 20:00:00+00:00,-0.1710301,-0.17554317,-0.17608559,-0.20004976,-0.17069867,-0.18725121,-0.17880933,-0.18718006,-0.19186729,-0.1775879,-0.18161032,0.009605689
2022-11-17 21:00:00+00:00,-0.1709525,-0.17603065,-0.1749168,-0.19944334,-0.1709792,-0.18572381,-0.17901365,-0.18797824,-0.19134742,-0.17769924,-0.1814085,0.009395487
2022-11-17 22:00:00+00:00,-0.17196006,-0.17687124,-0.17531589,-0.20043802,-0.17229676,-0.1850738,-0.1796973,-0.18944119,-0.1918751,-0.17916052,-0.18221298,0.009316319
2022-11-17 23:00:00+00:00,-0.17344943,-0.17790218,-0.17658241,-0.20251629,-0.17437106,-0.18571934,-0.18067338,-0.19135939,-0.19285724,-0.18194784,-0.18373784,0.009364507
2022-11-18 00:00:00+00:00,-0.17517062,-0.17888778,-0.17876728,-0.20463502,-0.17649975,-0.18700284,-0.1815636,-0.19353183,-0.19369505,-0.18538272,-0.18551366,0.009382819
2022-11-18 01:00:00+00:00,-0.1770156,-0.18007961,-0.18224022,-0.20508668,-0.17879885,-0.18775615,-0.18313517,-0.19593734,-0.19423124,-0.18793634,-0.18722172,0.008898707
2022-11-18 02:00:00+00:00,-0.17904261,-0.18100533,-0.18621853,-0.20578133,-0.18204364,-0.18721601,-0.18458682,-0.19827743,-0.19421588,-0.19131848,-0.18897063,0.008446606
2022-11-18 03:00:00+00:00,-0.1807364,-0.1817455,-0.18979362,-0.20578599,-0.18501335,-0.18594322,-0.1853722,-0.2002407,-0.19380736,-0.19337341,-0.19018118,0.008140104
2022-11-18 04:00:00+00:00,-0.18284097,-0.18230212,-0.19546436,-0.20517483,-0.18970923,-0.1837284,-0.18778315,-0.20098774,-0.19322616,-0.19457236,-0.19157892,0.0077609466
2022-11-18 05:00:00+00:00,-0.18471609,-0.18234171,-0.19845746,-0.20509394,-0.1916407,-0.18347085,-0.18927725,-0.20074107,-0.1925177,-0.19581383,-0.19240706,0.0076691257
2022-11-18 06:00:00+00:00,-0.18245888,-0.18194556,-0.19876152,-0.20539707,-0.19503528,-0.18204543,-0.19122225,-0.2000432,-0.19141237,-0.19625175,-0.19245732,0.008214215
2022-11-18 07:00:00+00:00,-0.1792413,-0.18145601,-0.19841886,-0.20614734,-0.19703099,-0.1811375,-0.19152252,-0.19917786,-0.19092074,-0.19590506,-0.19209583,0.008985705
2022-11-18 08:00:00+00:00,-0.17541347,-0.18067636,-0.19840515,-0.20637386,-0.19805685,-0.17914003,-0.19109643,-0.19806427,-0.18980622,-0.19454935,-0.1911582,0.009971364
2022-11-18 09:00:00+00:00,-0.17331395,-0.18010347,-0.19775978,-0.20495704,-0.1963935,-0.17781061,-0.18968314,-0.19697735,-0.1876589,-0.19295272,-0.18976104,0.010067346
2022-11-18 10:00:00+00:00,-0.17407688,-0.17985837,-0.19663057,-0.202553,-0.19384067,-0.17870554,-0.18757622,-0.19612959,-0.18586323,-0.19201493,-0.1887249,0.009120286
2022-11-18 11:00:00+00:00,-0.17432867,-0.17955983,-0.19564685,-0.20085716,-0.19244634,-0.17842984,-0.18647063,-0.19534796,-0.18453586,-0.19106647,-0.18786897,0.008633552
2022-11-18 12:00:00+00:00,-0.17440112,-0.17927395,-0.19487019,-0.19915023,-0.1911133,-0.17817473,-0.18531904,-0.19445789,-0.18373722,-0.19015238,-0.187065,0.008177089
